person,age,occupation,workclass,education,hours per week,marital status,race,relationship,sex,capital gain,capital loss,education num,native country,fnlwgt,income
person 101,50,Prof-specialty,Self-emp-inc,Prof-school,60,Married-civ-spouse,White,Husband,Male,0,2415,15,United-States,167793,>50K
person 102,46,Prof-specialty,Private,Doctorate,55,Married-civ-spouse,White,Husband,Male,0,2415,16,United-States,456062,>50K
person 103,53,Exec-managerial,Self-emp-not-inc,Bachelors,40,Married-civ-spouse,White,Husband,Male,0,2415,13,United-States,105478,>50K
person 104,50,Prof-specialty,Self-emp-not-inc,Prof-school,30,Married-civ-spouse,White,Husband,Male,0,2415,15,United-States,42402,>50K
person 105,41,Exec-managerial,Self-emp-inc,Prof-school,55,Married-civ-spouse,White,Wife,Female,0,2415,15,United-States,114580,>50K
person 107,38,Prof-specialty,Private,Prof-school,90,Married-civ-spouse,White,Husband,Male,0,2415,15,United-States,187870,>50K
person 109,50,Exec-managerial,Private,Bachelors,20,Married-civ-spouse,White,Wife,Female,0,2415,13,United-States,102346,>50K
person 110,47,Exec-managerial,Private,Bachelors,60,Married-civ-spouse,White,Husband,Male,0,2415,13,United-States,148995,>50K
person 111,47,Prof-specialty,Self-emp-inc,Prof-school,45,Married-civ-spouse,White,Husband,Male,0,2415,15,United-States,102308,>50K
person 112,67,Exec-managerial,Private,Bachelors,40,Widowed,White,Not-in-family,Male,0,2392,13,United-States,105252,>50K
person 113,67,Exec-managerial,Self-emp-inc,Bachelors,75,Married-civ-spouse,White,Husband,Male,0,2392,13,United-States,106175,>50K
person 114,72,Prof-specialty,Self-emp-not-inc,Doctorate,25,Married-civ-spouse,White,Husband,Male,0,2392,16,United-States,52138,>50K
person 115,72,?,?,Doctorate,6,Married-civ-spouse,White,Husband,Male,0,2392,16,United-States,118902,>50K
person 116,46,Exec-managerial,Self-emp-inc,Masters,50,Married-civ-spouse,White,Husband,Male,0,2392,14,United-States,191978,>50K
person 118,71,Exec-managerial,Self-emp-inc,Bachelors,60,Married-civ-spouse,White,Husband,Male,0,2392,13,United-States,66624,>50K
person 119,83,Exec-managerial,Self-emp-inc,Bachelors,55,Married-civ-spouse,White,Husband,Male,0,2392,13,United-States,153183,>50K
person 120,68,Exec-managerial,Private,Masters,40,Married-civ-spouse,White,Husband,Male,0,2392,14,United-States,211287,>50K
person 122,68,Prof-specialty,State-gov,Doctorate,60,Married-civ-spouse,White,Husband,Male,0,2377,16,United-States,235882,>50K
person 123,49,Adm-clerical,Self-emp-inc,HS-grad,40,Married-civ-spouse,White,Wife,Female,0,2377,9,United-States,158685,>50K
person 124,36,Prof-specialty,Private,HS-grad,60,Married-civ-spouse,White,Husband,Male,0,2377,9,United-States,370767,<=50K
person 125,70,Craft-repair,Self-emp-not-inc,Bachelors,12,Married-civ-spouse,White,Husband,Male,0,2377,13,United-States,155141,>50K
person 126,27,Adm-clerical,Private,Some-college,20,Married-civ-spouse,Black,Wife,Female,0,2377,10,United-States,156516,<=50K
person 127,35,Exec-managerial,Local-gov,Some-college,40,Married-civ-spouse,White,Husband,Male,0,2377,10,United-States,177305,<=50K
person 128,23,Sales,Private,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,2377,9,United-States,162945,<=50K
person 129,81,Exec-managerial,Private,HS-grad,26,Married-civ-spouse,White,Husband,Male,0,2377,9,United-States,177408,>50K
person 130,66,Sales,Self-emp-not-inc,Doctorate,25,Married-civ-spouse,White,Husband,Male,0,2377,16,United-States,427422,>50K
person 131,71,Exec-managerial,Private,HS-grad,45,Married-civ-spouse,White,Husband,Male,0,2377,9,United-States,152307,>50K
person 133,68,Prof-specialty,State-gov,Masters,42,Married-civ-spouse,White,Husband,Male,0,2377,14,?,202699,>50K
person 135,52,Sales,Private,HS-grad,40,Married-civ-spouse,Black,Husband,Male,0,2377,9,United-States,222405,<=50K
person 136,40,Craft-repair,Self-emp-inc,Assoc-acdm,50,Married-civ-spouse,White,Husband,Male,0,2377,12,United-States,110862,<=50K
person 137,68,?,?,Bachelors,35,Married-civ-spouse,White,Husband,Male,0,2377,13,United-States,257269,>50K
person 138,21,Exec-managerial,Private,Some-college,48,Married-civ-spouse,White,Husband,Male,0,2377,10,United-States,377931,<=50K
person 139,35,Craft-repair,Private,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,2377,9,United-States,192923,<=50K
person 140,70,Exec-managerial,Self-emp-inc,Bachelors,50,Married-civ-spouse,White,Husband,Male,0,2377,13,United-States,207938,>50K
person 141,61,Farming-fishing,Self-emp-not-inc,HS-grad,50,Married-civ-spouse,White,Husband,Male,0,2352,9,United-States,36671,<=50K
person 142,65,Farming-fishing,Self-emp-inc,HS-grad,65,Married-civ-spouse,White,Husband,Male,0,2352,9,United-States,81413,<=50K
person 143,46,Craft-repair,Private,5th-6th,45,Divorced,White,Not-in-family,Female,0,2339,3,United-States,214955,<=50K
person 145,59,Farming-fishing,Local-gov,HS-grad,40,Widowed,White,Unmarried,Male,0,2339,9,United-States,147707,<=50K
person 146,61,Handlers-cleaners,Private,5th-6th,40,Never-married,Black,Not-in-family,Male,0,2339,3,United-States,43554,<=50K
person 147,60,Prof-specialty,State-gov,Bachelors,40,Divorced,White,Not-in-family,Female,0,2339,13,United-States,358893,<=50K
person 148,49,Exec-managerial,Self-emp-inc,Some-college,50,Divorced,White,Not-in-family,Male,0,2339,10,United-States,141058,<=50K
person 149,34,Machine-op-inspct,Private,Bachelors,40,Married-spouse-absent,Asian-Pac-Islander,Not-in-family,Male,0,2339,13,?,25322,<=50K
person 150,25,Prof-specialty,Private,Bachelors,35,Never-married,White,Own-child,Female,0,2339,13,United-States,77071,<=50K
person 151,55,Adm-clerical,Private,Some-college,45,Never-married,Black,Not-in-family,Female,0,2339,10,?,158702,<=50K
person 153,28,Exec-managerial,State-gov,Some-college,40,Separated,White,Own-child,Male,0,2339,10,United-States,381789,<=50K
person 154,43,?,?,Assoc-voc,36,Widowed,White,Not-in-family,Female,0,2339,11,United-States,152569,<=50K
person 155,56,Sales,Self-emp-not-inc,Masters,60,Divorced,White,Unmarried,Female,0,2339,14,United-States,346635,<=50K
person 156,41,Craft-repair,Private,HS-grad,40,Divorced,White,Not-in-family,Male,0,2339,9,United-States,162140,<=50K
person 157,42,Adm-clerical,Private,HS-grad,40,Never-married,Black,Other-relative,Female,0,2339,9,Trinadad&Tobago,191765,<=50K
person 158,28,Prof-specialty,Private,Prof-school,40,Never-married,White,Not-in-family,Male,0,2339,15,Canada,251905,<=50K
person 159,40,Other-service,Self-emp-not-inc,Prof-school,35,Divorced,White,Not-in-family,Female,0,2339,15,United-States,33310,<=50K
person 160,69,Prof-specialty,Private,Bachelors,40,Widowed,White,Not-in-family,Male,0,2282,13,United-States,228921,>50K
person 161,66,Craft-repair,Local-gov,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,2267,9,United-States,36364,<=50K
person 162,69,Machine-op-inspct,Private,5th-6th,40,Married-civ-spouse,White,Husband,Male,0,2267,3,United-States,124930,<=50K
person 163,55,Prof-specialty,Local-gov,Masters,40,Married-civ-spouse,White,Wife,Female,0,2267,14,United-States,176046,<=50K
person 164,57,Adm-clerical,Federal-gov,HS-grad,40,Never-married,White,Not-in-family,Male,0,2258,9,United-States,370890,<=50K
person 165,20,Farming-fishing,Self-emp-not-inc,Some-college,10,Never-married,White,Own-child,Male,0,2258,10,United-States,157145,<=50K
person 166,33,Craft-repair,Private,HS-grad,84,Divorced,White,Not-in-family,Male,0,2258,9,United-States,288825,<=50K
person 168,40,Tech-support,Private,Bachelors,48,Never-married,Asian-Pac-Islander,Not-in-family,Female,0,2258,13,Philippines,287983,<=50K
person 169,38,Machine-op-inspct,Private,Some-college,55,Separated,White,Not-in-family,Male,0,2258,10,United-States,101978,>50K
person 172,57,Adm-clerical,Federal-gov,Bachelors,40,Never-married,White,Not-in-family,Male,0,2258,13,United-States,199114,<=50K
person 173,39,Craft-repair,Private,HS-grad,42,Never-married,White,Own-child,Male,0,2258,9,United-States,156897,>50K
person 174,47,Exec-managerial,Private,Bachelors,40,Divorced,White,Not-in-family,Male,0,2258,13,United-States,138107,>50K
person 175,26,Exec-managerial,Private,Bachelors,45,Never-married,White,Not-in-family,Male,0,2258,13,United-States,279833,>50K
person 176,27,Craft-repair,Self-emp-not-inc,HS-grad,50,Never-married,White,Not-in-family,Male,0,2258,9,United-States,208577,<=50K
person 177,23,Prof-specialty,Private,Bachelors,40,Never-married,White,Own-child,Female,0,2258,13,United-States,102942,>50K
person 178,34,Prof-specialty,Private,Masters,50,Never-married,White,Not-in-family,Male,0,2258,14,United-States,36385,<=50K
person 179,33,Craft-repair,Private,12th,42,Divorced,White,Not-in-family,Male,0,2258,8,United-States,176185,<=50K
person 181,57,Adm-clerical,Private,Some-college,38,Widowed,White,Unmarried,Female,0,2258,10,United-States,121362,>50K
person 182,36,Exec-managerial,Private,HS-grad,70,Never-married,White,Not-in-family,Male,0,2258,9,United-States,145933,<=50K
person 183,44,Tech-support,Federal-gov,Bachelors,40,Divorced,White,Not-in-family,Male,0,2258,13,United-States,29591,>50K
person 186,55,Farming-fishing,Private,Some-college,62,Widowed,White,Not-in-family,Male,0,2258,10,United-States,41108,>50K
person 187,45,Farming-fishing,Private,HS-grad,44,Divorced,White,Not-in-family,Male,0,2258,9,United-States,187901,>50K
person 188,48,Exec-managerial,Private,HS-grad,40,Divorced,White,Not-in-family,Female,0,2258,9,United-States,175070,>50K
person 189,31,Exec-managerial,Private,Bachelors,45,Married-civ-spouse,White,Husband,Male,0,2246,13,United-States,263561,>50K
person 190,55,Prof-specialty,Local-gov,HS-grad,40,Married-civ-spouse,White,Other-relative,Female,0,2246,9,United-States,99131,>50K
person 192,70,Exec-managerial,Self-emp-not-inc,Masters,8,Married-civ-spouse,White,Husband,Male,0,2246,14,United-States,124449,>50K
person 193,73,Prof-specialty,Private,Bachelors,40,Married-civ-spouse,White,Husband,Male,0,2246,13,United-States,336007,>50K
person 195,31,Machine-op-inspct,Private,HS-grad,40,Separated,White,Unmarried,Female,0,2238,9,United-States,327825,<=50K
person 196,28,Adm-clerical,Private,10th,35,Widowed,White,Unmarried,Female,0,2238,6,United-States,129460,<=50K
person 198,49,Handlers-cleaners,Local-gov,9th,40,Widowed,White,Unmarried,Male,0,2231,5,United-States,102359,>50K
person 200,90,Other-service,Private,HS-grad,40,Never-married,Black,Not-in-family,Male,0,2206,9,United-States,51744,<=50K
person 203,65,?,?,HS-grad,10,Widowed,White,Unmarried,Female,0,2206,9,United-States,143118,<=50K
person 204,67,Exec-managerial,Private,Bachelors,5,Divorced,White,Not-in-family,Female,0,2206,13,United-States,118363,<=50K
person 206,24,Adm-clerical,Private,Some-college,24,Never-married,White,Not-in-family,Male,0,2205,10,United-States,379066,<=50K
person 207,44,Machine-op-inspct,Self-emp-not-inc,Some-college,35,Divorced,White,Not-in-family,Male,0,2205,10,United-States,171424,<=50K
person 209,20,Other-service,Private,Assoc-acdm,18,Never-married,White,Own-child,Female,0,2205,12,United-States,107801,<=50K
person 210,38,Craft-repair,Private,HS-grad,40,Divorced,White,Not-in-family,Male,0,2205,9,United-States,126675,<=50K
person 211,39,Other-service,Private,Some-college,40,Never-married,Black,Own-child,Female,0,2205,10,United-States,155603,<=50K
person 212,32,Machine-op-inspct,Private,Some-college,40,Never-married,White,Other-relative,Female,0,2205,10,Holand-Netherlands,27882,<=50K
person 213,42,Handlers-cleaners,Private,7th-8th,40,Never-married,Black,Not-in-family,Male,0,2205,4,United-States,242564,<=50K
person 214,63,?,?,HS-grad,40,Divorced,White,Not-in-family,Female,0,2205,9,United-States,234083,<=50K
person 215,42,Exec-managerial,Self-emp-inc,Masters,60,Divorced,Asian-Pac-Islander,Unmarried,Male,0,2201,14,India,23510,>50K
person 217,28,Handlers-cleaners,Private,7th-8th,40,Married-civ-spouse,Other,Husband,Male,0,2179,4,Puerto-Rico,166481,<=50K
person 218,41,Sales,Self-emp-inc,Assoc-voc,84,Married-civ-spouse,Other,Husband,Male,0,2179,11,Mexico,139916,<=50K
person 219,41,Craft-repair,Self-emp-not-inc,7th-8th,40,Married-civ-spouse,White,Husband,Male,0,2179,4,United-States,144594,<=50K
person 220,58,Transport-moving,Self-emp-not-inc,1st-4th,18,Married-civ-spouse,White,Husband,Male,0,2179,2,United-States,266707,<=50K
person 222,34,Farming-fishing,Self-emp-not-inc,HS-grad,12,Married-civ-spouse,White,Wife,Female,0,2179,9,United-States,56460,<=50K
person 223,45,Transport-moving,Private,HS-grad,45,Married-civ-spouse,White,Husband,Male,0,2179,9,United-States,167523,<=50K
person 224,29,Adm-clerical,Private,HS-grad,40,Married-civ-spouse,White,Wife,Female,0,2179,9,United-States,119004,<=50K
person 225,47,Sales,Private,10th,52,Married-civ-spouse,White,Husband,Male,0,2179,6,United-States,175925,<=50K
person 226,40,Machine-op-inspct,Private,Some-college,40,Married-civ-spouse,White,Husband,Male,0,2179,10,United-States,212847,<=50K
person 227,47,Sales,Self-emp-not-inc,5th-6th,50,Married-civ-spouse,White,Husband,Male,0,2179,3,Mexico,191175,<=50K
person 228,63,?,?,Bachelors,45,Married-civ-spouse,White,Husband,Male,0,2179,13,United-States,83043,<=50K
person 229,41,Handlers-cleaners,Self-emp-not-inc,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,2179,9,United-States,170214,<=50K
person 232,65,Exec-managerial,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Husband,Male,0,2174,10,United-States,111483,>50K
person 233,70,Handlers-cleaners,Private,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,2174,9,United-States,282642,>50K
person 234,75,Prof-specialty,Self-emp-not-inc,Prof-school,50,Married-civ-spouse,White,Husband,Male,0,2174,15,United-States,309955,>50K
person 235,65,Adm-clerical,State-gov,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,2174,9,United-States,215908,>50K
person 236,65,Exec-managerial,Federal-gov,Some-college,40,Married-civ-spouse,Black,Husband,Male,0,2174,10,United-States,23494,>50K
person 237,73,Prof-specialty,Private,Some-college,50,Married-civ-spouse,White,Husband,Male,0,2174,10,United-States,147551,>50K
person 241,43,Machine-op-inspct,Private,5th-6th,72,Married-civ-spouse,Asian-Pac-Islander,Wife,Female,0,2129,3,?,143582,<=50K
person 242,19,Craft-repair,Self-emp-not-inc,11th,55,Married-civ-spouse,White,Own-child,Male,0,2129,7,United-States,342384,<=50K
person 243,37,Craft-repair,Self-emp-not-inc,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,2129,9,United-States,68899,<=50K
person 244,45,Adm-clerical,Federal-gov,Assoc-acdm,40,Divorced,Asian-Pac-Islander,Unmarried,Male,0,2080,12,Philippines,207107,<=50K
person 245,64,Prof-specialty,Private,Masters,60,Married-civ-spouse,Asian-Pac-Islander,Husband,Male,0,2057,14,China,149044,<=50K
person 246,30,Transport-moving,Private,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,2057,9,United-States,148524,<=50K
person 249,29,Adm-clerical,Private,HS-grad,20,Married-civ-spouse,White,Wife,Female,0,2057,9,United-States,239753,<=50K
person 250,34,Adm-clerical,Private,Some-college,40,Married-civ-spouse,White,Wife,Female,0,2057,10,United-States,199864,<=50K
person 251,41,Craft-repair,Private,HS-grad,60,Married-civ-spouse,White,Husband,Male,0,2051,9,United-States,125831,<=50K
person 252,35,Craft-repair,Private,Some-college,45,Married-civ-spouse,White,Husband,Male,0,2051,10,United-States,67728,<=50K
person 253,26,Adm-clerical,Private,Some-college,40,Married-civ-spouse,White,Husband,Male,0,2051,10,United-States,115717,<=50K
person 254,54,Transport-moving,Private,HS-grad,50,Married-civ-spouse,White,Husband,Male,0,2051,9,United-States,172281,<=50K
person 256,50,Farming-fishing,Self-emp-not-inc,HS-grad,20,Married-civ-spouse,White,Husband,Male,0,2051,9,United-States,105010,<=50K
person 257,31,Adm-clerical,Private,Some-college,40,Married-civ-spouse,White,Husband,Male,0,2051,10,United-States,291052,<=50K
person 258,38,Transport-moving,Federal-gov,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,2051,9,United-States,248919,<=50K
person 259,30,Craft-repair,Private,Some-college,40,Married-civ-spouse,White,Husband,Male,0,2051,10,United-States,84119,<=50K
person 261,31,Sales,Private,Some-college,57,Married-civ-spouse,White,Husband,Male,0,2051,10,United-States,161765,<=50K
person 262,52,Machine-op-inspct,Private,HS-grad,38,Married-civ-spouse,White,Husband,Male,0,2051,9,United-States,195635,<=50K
person 263,54,Craft-repair,Private,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,2051,9,United-States,816750,<=50K
person 264,38,Craft-repair,Private,HS-grad,44,Married-civ-spouse,White,Husband,Male,0,2051,9,United-States,160192,<=50K
person 265,39,Machine-op-inspct,Private,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,2051,9,United-States,136081,<=50K
person 266,29,Tech-support,Private,Assoc-voc,40,Married-civ-spouse,White,Husband,Male,0,2051,11,United-States,244473,<=50K
person 268,34,Transport-moving,Private,HS-grad,55,Married-civ-spouse,White,Husband,Male,0,2051,9,United-States,265807,<=50K
person 269,38,Craft-repair,Private,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,2051,9,Poland,154410,<=50K
person 271,61,Craft-repair,Private,HS-grad,20,Married-civ-spouse,White,Husband,Male,0,2051,9,United-States,179743,<=50K
person 272,43,Transport-moving,Private,11th,40,Married-civ-spouse,White,Husband,Male,0,2042,7,United-States,117037,<=50K
person 274,46,Sales,Private,Some-college,50,Married-civ-spouse,White,Husband,Male,0,2042,10,United-States,315423,<=50K
