house,median income,median house value,housing median age,total rooms,total bedrooms,population,households,longitude,latitude,ocean proximity
house 16439,3.0592,152800,28,2103,422,1167,391,-121.25,38.07,INLAND
house 17398,1.8625,90200,32,1574,447,1772,463,-120.45,34.95,<1H OCEAN
house 11775,2.3611,87900,41,4374,1039,2387,959,-121.3,38.74,INLAND
house 3937,4.1359,255200,17,3262,753,1879,708,-118.57,34.22,<1H OCEAN
house 11345,3.3629,137500,8,2325,598,1511,565,-117.92,33.75,<1H OCEAN
house 20213,5.533,299700,24,2212,332,899,331,-119.22,34.28,NEAR OCEAN
house 6260,4.375,156500,35,1309,276,1113,253,-117.95,34.05,<1H OCEAN
house 11108,3.6,193500,35,1756,328,1026,332,-117.9,33.85,<1H OCEAN
house 5301,1.583,350000,19,4845,1609,3751,1539,-118.45,34.07,<1H OCEAN
house 15219,6.0175,238300,15,2869,405,1526,402,-117.12,32.96,<1H OCEAN
house 17775,4.0452,205900,11,2109,592,2744,607,-121.85,37.36,<1H OCEAN
house 7742,2.7875,209000,35,2753,702,1592,614,-118.15,33.95,<1H OCEAN
house 18772,1.3904,48100,30,1270,365,840,324,-122.29,40.44,INLAND
house 2511,4.125,67500,46,55,11,26,5,-119.55,36.51,INLAND
house 10536,5.5677,245400,4,2351,445,834,397,-117.7,33.5,<1H OCEAN
house 6080,6.4667,263900,16,4556,639,2066,651,-117.85,34.09,<1H OCEAN
house 19764,2.25,68200,30,1952,397,961,333,-122.18,40.02,INLAND
house 12248,2.4145,137600,14,7240,1410,2708,1240,-116.94,33.77,INLAND
house 8600,4.9375,293000,19,2512,575,1275,544,-118.36,33.87,<1H OCEAN
house 6902,2.1944,203300,33,818,195,664,198,-118.15,34.04,<1H OCEAN
house 13016,3.2321,390800,11,4415,,1520,627,-121.19,38.71,INLAND
house 14946,5.1098,162300,16,3361,537,1754,578,-116.98,32.74,<1H OCEAN
house 9307,7.3521,444000,32,2236,348,818,330,-122.54,37.99,NEAR BAY
house 2997,4.1957,92700,11,2161,371,1267,388,-119.04,35.31,INLAND
house 2269,2.9506,73800,35,2314,443,954,457,-119.81,36.79,INLAND
house 18625,5.1121,308100,19,4113,767,2006,732,-122.01,37.06,NEAR OCEAN
house 3391,3.275,181400,39,1470,312,1047,284,-118.35,34.21,<1H OCEAN
house 13608,2.1465,88800,22,7935,1976,4523,1791,-117.25,34.15,INLAND
house 12018,2.9821,115600,31,2529,513,1504,426,-117.5,33.92,INLAND
house 887,3.1326,220800,17,5133,1375,3386,1339,-121.98,37.54,<1H OCEAN
house 7680,4.1449,175300,37,1950,356,1183,338,-118.09,33.93,<1H OCEAN
house 7380,2.1473,115100,41,1182,346,1644,346,-118.24,33.97,<1H OCEAN
house 13287,4.7176,166400,35,2621,391,1074,391,-117.65,34.08,INLAND
house 9649,2.9063,55000,9,97,20,91,22,-120.79,37.08,INLAND
house 518,8.7477,500001,52,1611,203,556,179,-122.23,37.82,NEAR BAY
house 10531,3.6196,119900,9,1204,355,469,293,-117.7,33.57,<1H OCEAN
house 1105,2.8657,119600,14,1527,269,665,261,-121.59,39.86,INLAND
house 10352,3.929,143100,16,5218,1187,2701,1125,-117.68,33.63,<1H OCEAN
house 3279,3.3929,108300,13,532,111,214,62,-122.7,39.14,INLAND
house 20263,4.2227,235400,28,4194,811,2556,856,-119.19,34.21,NEAR OCEAN
house 16086,3.9219,433300,37,1399,224,530,235,-122.49,37.73,NEAR OCEAN
house 20146,4.0122,214800,20,4725,881,2823,869,-119.09,34.35,<1H OCEAN
house 11136,3.2301,189900,23,2870,653,1680,598,-117.93,33.84,<1H OCEAN
house 16715,4.3218,209100,17,1701,298,941,293,-120.68,35.51,<1H OCEAN
house 2476,2.1771,39200,18,1128,237,772,220,-119.97,36.44,INLAND
house 10628,7.5847,375700,5,4050,584,1986,598,-117.77,33.71,<1H OCEAN
house 5248,15.0001,500001,36,3129,392,862,334,-118.44,34.09,<1H OCEAN
house 7805,3.7321,167500,41,834,166,603,179,-118.08,33.89,<1H OCEAN
house 12623,4.8497,184400,19,4900,805,2519,855,-121.52,38.5,INLAND
house 7988,3.07,173000,39,2247,526,1670,525,-118.17,33.85,<1H OCEAN
house 10559,2.2969,67500,16,1230,242,380,246,-117.72,33.64,<1H OCEAN
house 20138,2.8417,162500,22,1815,506,2428,473,-119.05,34.36,<1H OCEAN
house 85,1.8088,118800,35,948,184,467,169,-122.28,37.81,NEAR BAY
house 15881,2.3903,236100,52,2452,623,1932,549,-122.41,37.75,NEAR BAY
house 186,2.1917,112800,43,5963,1344,4367,1231,-122.23,37.79,NEAR BAY
house 3527,4.1042,252100,36,2276,429,1001,419,-118.51,34.27,<1H OCEAN
house 3300,1.6865,58800,19,2230,538,832,359,-122.62,38.95,INLAND
house 14258,1.7402,79400,34,2028,522,1797,464,-117.11,32.7,NEAR OCEAN
house 686,2.9507,157100,44,2341,500,1256,485,-122.1,37.69,NEAR BAY
house 14470,10.9529,500001,17,2075,262,704,241,-117.25,32.83,NEAR OCEAN
house 13651,1.9926,81500,37,953,231,611,230,-117.31,34.08,INLAND
house 12098,2.5379,152700,33,6982,1371,5650,1195,-117.28,33.89,INLAND
house 17488,3.0773,112500,15,1482,345,669,379,-119.82,34.43,NEAR OCEAN
house 20312,2.0368,243800,37,470,105,522,83,-119.11,34.17,NEAR OCEAN
house 3529,5.3847,329200,32,1931,298,948,314,-118.53,34.27,<1H OCEAN
house 1519,4.4312,225000,26,3872,739,1629,684,-122.07,37.92,NEAR BAY
house 1564,10.3345,461400,5,2255,269,876,258,-121.93,37.76,<1H OCEAN
house 19579,3.0809,143600,5,6660,1217,3012,1087,-120.86,37.69,INLAND
house 10100,2.6123,161300,37,2633,630,1904,630,-117.95,33.93,<1H OCEAN
house 13299,3.495,118000,35,1254,241,729,253,-117.64,34.08,INLAND
house 16877,3.5817,369300,30,5351,1134,2558,1074,-122.4,37.6,NEAR OCEAN
house 6227,9.7066,182500,38,175,22,129,20,-117.92,34.07,<1H OCEAN
house 10512,6.0868,282900,17,5041,778,2396,801,-117.69,33.53,<1H OCEAN
house 6780,3.5875,309300,39,2618,582,1314,532,-118.15,34.11,<1H OCEAN
house 8266,2.5726,193800,41,2048,601,852,533,-118.18,33.77,NEAR OCEAN
house 7059,3.4907,153500,34,1995,417,1573,407,-118.04,33.92,<1H OCEAN
house 10372,6.7543,251900,15,3485,519,1740,485,-117.65,33.65,<1H OCEAN
house 10304,6.0829,252600,17,8562,1351,3822,1316,-117.79,33.88,<1H OCEAN
house 11963,2.7083,87800,25,1858,366,1311,331,-117.4,34.01,INLAND
house 16400,2.4688,126800,25,1471,300,721,304,-121.24,38,INLAND
house 11815,1.8238,158600,14,3888,890,1830,844,-121.11,38.95,INLAND
house 7626,4.3527,167000,33,1685,333,1484,318,-118.27,33.86,<1H OCEAN
house 7273,1.9929,150600,30,2562,959,3909,955,-118.23,33.98,<1H OCEAN
house 6602,3.3125,154900,42,1521,320,1118,311,-118.15,34.18,<1H OCEAN
house 13658,3.4228,115700,7,4672,1121,2534,1046,-117.3,34.05,INLAND
house 1730,3.9773,131300,33,2014,410,1354,427,-122.34,37.98,NEAR BAY
house 19682,3.0962,74000,36,2321,455,1168,489,-121.62,39.15,INLAND
house 13616,2.1375,87500,39,3521,747,2256,721,-117.26,34.13,INLAND
house 20404,6.2748,274800,22,3654,517,1565,518,-118.88,34.22,<1H OCEAN
house 5209,2.2778,128100,41,896,198,605,168,-118.29,33.93,<1H OCEAN
house 12919,3.6523,158500,19,8501,1558,3576,1467,-121.32,38.64,INLAND
house 20259,3.015,149300,36,2028,523,2751,496,-119.17,34.2,NEAR OCEAN
house 7186,2.75,150000,39,563,138,682,137,-118.17,34.04,<1H OCEAN
house 13444,2.7569,127500,21,4460,930,2657,839,-117.42,34.08,INLAND
house 17987,4.3081,227300,20,4228,1006,2334,1007,-121.96,37.3,<1H OCEAN
house 11061,4.7208,173500,19,2813,567,1334,596,-117.87,33.78,<1H OCEAN
house 11649,4.535,289300,19,1795,328,1014,322,-118.03,33.86,<1H OCEAN
house 13036,2.5183,293300,15,3084,557,1040,562,-121.17,38.71,INLAND
house 15530,4.7019,191100,14,8374,1407,2916,1295,-117.11,33.15,<1H OCEAN
house 4204,3.1306,214000,45,2839,698,1768,653,-118.26,34.12,<1H OCEAN
house 3370,1.7267,60700,19,2335,518,1028,383,-120.09,39.92,INLAND
house 1912,4.0313,126000,18,2040,402,350,129,-120.16,39.04,INLAND
house 12508,3.0938,137800,46,1316,244,452,245,-121.43,38.56,INLAND
house 11799,4.4958,192600,19,2531,461,1206,429,-121.22,38.92,INLAND
house 6237,4.4102,183200,34,2226,381,1464,365,-117.96,34.06,<1H OCEAN
house 6713,11.7894,500001,45,2257,285,759,305,-118.17,34.14,<1H OCEAN
house 3310,1.7566,49000,25,661,144,192,93,-122.63,38.94,INLAND
house 17007,5.1701,294200,37,991,180,463,177,-122.28,37.54,NEAR OCEAN
house 18172,4.2061,253600,16,1105,354,499,324,-122.01,37.36,<1H OCEAN
house 1940,5.2032,217100,10,3421,563,1689,545,-120.95,38.69,INLAND
house 20338,5.687,238100,25,3655,545,1776,544,-119.03,34.24,<1H OCEAN
house 3154,3.2405,85500,16,4084,812,2033,668,-118.46,35.12,INLAND
house 2409,2.2863,69200,5,2353,608,2505,573,-119.44,36.6,INLAND
house 676,4.7609,212600,24,2262,391,1125,366,-122.17,37.69,NEAR BAY
house 6107,3.6875,140200,27,2434,535,1623,498,-117.89,34.11,<1H OCEAN
house 15299,3.7891,206300,10,1684,515,902,449,-117.35,33.16,NEAR OCEAN
house 15289,3.5341,500001,15,2392,446,747,421,-117.31,33.1,NEAR OCEAN
house 816,4.1719,187000,36,1151,216,727,215,-122.04,37.61,NEAR BAY
house 9205,2.625,137500,13,1722,325,712,269,-119.6,37.29,INLAND
house 860,4.6146,247600,21,4342,783,2172,789,-121.97,37.57,<1H OCEAN
house 18664,4.1587,315200,32,2210,426,1082,396,-121.94,37,NEAR OCEAN
house 17480,1.24,325000,24,1576,580,1630,531,-119.86,34.41,NEAR OCEAN
house 9708,2.8924,169600,52,2351,459,1169,439,-121.65,36.67,<1H OCEAN
house 10816,6,381500,27,891,183,513,171,-117.95,33.63,<1H OCEAN
house 14816,3.6759,368800,44,2655,514,1102,489,-117.18,32.7,NEAR OCEAN
house 1298,5.0164,165200,13,3995,605,1969,607,-121.82,37.98,INLAND
house 15550,2.5331,115100,31,1356,324,1301,331,-117.08,33.11,<1H OCEAN
house 5778,3.5417,177100,18,1775,525,950,522,-118.26,34.16,<1H OCEAN
house 5349,5.0151,500001,33,2921,652,1124,608,-118.42,34.05,<1H OCEAN
house 6947,3.6196,170700,38,1683,328,1369,339,-118.08,33.99,<1H OCEAN
house 7013,2.6991,147100,30,928,230,913,214,-118.07,33.96,<1H OCEAN
house 10172,3.8068,158700,29,1310,332,937,294,-117.98,33.87,<1H OCEAN
house 6267,3.5592,160200,36,1431,354,1367,334,-117.94,34.04,<1H OCEAN
house 12030,3.0122,114700,16,4112,880,2821,857,-117.46,33.93,INLAND
house 13390,3.5186,127800,4,6360,1584,3359,1396,-117.58,34.1,INLAND
house 20173,3.2917,225000,28,731,155,285,162,-119.17,34.29,NEAR OCEAN
house 3893,3.8247,208700,33,3910,838,2097,810,-118.55,34.21,<1H OCEAN
house 5718,5.5756,309900,41,2067,452,1282,455,-118.24,34.2,<1H OCEAN
house 10201,3.9375,187000,46,2066,450,1275,448,-117.94,33.87,<1H OCEAN
house 5498,3.191,271200,30,3550,934,3738,880,-118.41,34,<1H OCEAN
house 14181,3.1923,116900,31,2669,514,1626,499,-117.06,32.72,NEAR OCEAN
house 16393,6.1805,247900,32,1829,262,677,243,-121.23,38.04,INLAND
house 5932,6.5253,349900,26,8254,1153,3460,1131,-117.83,34.14,INLAND
house 6628,2.3,146700,40,1054,251,1056,276,-118.14,34.17,<1H OCEAN
house 13106,5.1811,188400,6,3254,465,1168,345,-121.36,38.42,INLAND
house 19914,5.1896,101900,14,2382,377,1278,386,-119.29,36.31,INLAND
house 19855,1.9342,68600,32,2293,466,1538,468,-119.31,36.39,INLAND
house 14621,3.3375,154300,32,1731,413,1569,427,-117.16,32.79,NEAR OCEAN
house 18174,6.6329,349000,25,2796,429,1267,426,-122.01,37.36,<1H OCEAN
house 19320,3.1,162100,29,4450,939,1328,590,-122.98,38.44,<1H OCEAN
house 13573,2.3947,81900,40,2190,496,1214,493,-117.28,34.14,INLAND
house 19206,1.7,350000,27,966,251,462,230,-122.71,38.44,<1H OCEAN
house 17644,5.4609,263600,28,4538,685,1996,667,-121.9,37.27,<1H OCEAN
house 8176,5.7942,257000,36,2223,370,1039,370,-118.11,33.79,<1H OCEAN
house 10593,6.0961,295500,16,3400,501,1575,488,-117.78,33.69,<1H OCEAN
house 8519,5.1669,220600,44,1300,252,695,249,-118.32,33.89,<1H OCEAN
house 6164,4.87,187700,35,2393,417,1336,418,-117.94,34.08,<1H OCEAN
house 17196,4.1375,395000,26,3578,677,1504,618,-119.75,34.45,NEAR OCEAN
house 12957,4.0739,115400,21,6575,1105,3358,1098,-121.3,38.69,INLAND
house 3204,3.8108,90400,23,3182,563,1525,585,-119.64,36.35,INLAND
house 9331,6.1359,212500,16,100,20,45,25,-122.5,37.96,NEAR BAY
house 15374,2.0956,134400,17,1614,431,1031,389,-117.25,33.38,<1H OCEAN
house 5941,2.2442,166700,42,2225,485,1544,464,-117.91,34.14,INLAND
house 18520,5.3972,362300,30,2695,424,1098,420,-122.04,36.97,NEAR OCEAN
house 3039,2.9453,82800,37,2044,394,894,359,-119.11,35.38,INLAND
house 12973,3.1382,91600,21,3455,706,1605,704,-121.32,38.67,INLAND
house 3996,6.2064,334900,29,3393,574,1471,587,-118.58,34.17,<1H OCEAN
house 1441,2.8456,165500,40,1797,401,756,369,-122.02,37.98,NEAR BAY
house 9799,5.7248,398800,39,5468,834,1782,712,-121.91,36.55,NEAR OCEAN
house 19329,3.5085,187800,27,3894,776,1832,715,-122.87,38.48,<1H OCEAN
house 17909,6.3191,258300,36,815,126,353,122,-121.97,37.35,<1H OCEAN
house 12062,5.1929,165000,27,1786,287,939,278,-117.57,33.87,INLAND
house 4863,1.7546,175000,50,395,232,948,243,-118.27,34.03,<1H OCEAN
house 13602,3.9018,91500,35,2707,481,1595,479,-117.25,34.16,INLAND
house 11106,5.1782,225000,33,1526,237,906,245,-117.88,33.84,<1H OCEAN
house 2996,3.4827,93600,11,7035,1455,3525,1387,-119.05,35.32,INLAND
house 8256,2.346,165600,38,2239,721,984,684,-118.17,33.77,NEAR OCEAN
house 10093,3.46,232800,31,1471,321,841,330,-117.96,33.93,<1H OCEAN
house 3426,3.0132,142600,30,1384,308,2054,301,-118.43,34.28,<1H OCEAN
house 5208,2.875,120200,40,1935,461,1616,433,-118.29,33.92,<1H OCEAN
house 20524,3.9,146900,22,2403,431,1088,421,-121.55,38.51,INLAND
house 6901,4.1375,211500,38,1447,293,1042,284,-118.14,34.03,<1H OCEAN
house 14541,4.4615,168300,16,1972,402,1377,413,-117.15,32.92,<1H OCEAN
house 4066,4.642,457300,7,6306,1473,2381,1299,-118.47,34.15,<1H OCEAN
house 13236,8.0103,395500,20,2524,311,965,285,-117.66,34.15,INLAND
house 6502,2.0433,138800,34,572,154,752,182,-118.05,34.08,<1H OCEAN
house 20440,4.6985,264100,12,3330,600,1577,584,-118.8,34.27,<1H OCEAN
house 9689,4.1675,142500,32,4089,735,2927,713,-121.64,36.7,<1H OCEAN
house 19167,1.6685,114100,28,1585,412,1362,424,-122.7,38.43,<1H OCEAN
house 7012,2.4607,155600,32,3400,826,3017,793,-118.07,33.97,<1H OCEAN
house 17062,3.8684,265600,38,4105,950,2561,909,-122.24,37.49,NEAR OCEAN
house 3331,2.1964,112500,10,304,63,161,61,-122.48,38.9,INLAND
house 13600,4.3362,159400,31,1516,238,596,255,-117.25,34.16,INLAND
house 11411,4.1366,158800,10,2775,717,1581,633,-117.93,33.71,<1H OCEAN
house 13724,2.1875,81900,28,699,180,432,168,-117.18,34.06,INLAND
house 8187,5.1805,249400,36,3359,596,1522,565,-118.1,33.79,<1H OCEAN
house 12960,2.8226,99900,17,5434,1106,2755,1047,-121.3,38.71,INLAND
house 12097,4.8125,173900,15,826,138,440,134,-117.32,33.87,INLAND
house 6528,2.1406,162500,45,531,164,722,166,-118.05,34.06,<1H OCEAN
house 15826,3.5536,400000,52,2112,528,1227,513,-122.42,37.75,NEAR BAY
house 16279,2.125,61200,24,1451,320,1413,283,-121.27,37.93,INLAND
house 11231,4.0735,208700,35,1068,190,514,174,-117.95,33.82,<1H OCEAN
house 4072,8.8115,500001,34,5264,771,1738,753,-118.46,34.14,<1H OCEAN
house 14650,3.2679,137500,30,156,45,77,40,-117.2,32.77,NEAR OCEAN
house 20130,3.7092,190500,17,3275,599,2422,637,-118.93,34.4,<1H OCEAN
house 5158,2.1437,94800,40,2044,538,2150,524,-118.28,33.95,<1H OCEAN
house 8225,0.9318,187500,35,1511,593,914,539,-118.19,33.78,NEAR OCEAN
house 11578,3.0625,208800,12,1250,331,1047,334,-118,33.76,<1H OCEAN
house 4011,5.6327,500001,18,6476,1082,2413,958,-118.58,34.17,<1H OCEAN
house 17465,3.6304,312200,22,2367,492,1333,488,-119.88,34.42,NEAR OCEAN
house 16131,3.129,375000,48,2835,728,1674,684,-122.48,37.78,NEAR BAY
house 16252,2.5,63600,43,527,133,367,152,-121.26,37.96,INLAND
house 9749,2.5986,135700,11,4712,1098,5982,1105,-121.62,36.69,<1H OCEAN
house 1717,4.2852,173500,24,4865,968,2315,893,-122.32,37.99,NEAR BAY
house 2637,2.0938,79600,39,1186,238,539,212,-124.15,40.59,NEAR OCEAN
house 9553,2.0417,94200,27,2692,481,1518,447,-120.89,37.33,INLAND
house 7592,2.375,93600,35,1079,247,1055,243,-118.24,33.9,<1H OCEAN
house 2512,4.625,162500,36,49,7,28,2,-119.54,36.51,INLAND
house 2075,2.0781,48800,41,1022,209,741,213,-119.82,36.75,INLAND
house 6609,3.7222,237000,49,1678,277,737,287,-118.14,34.19,INLAND
house 16693,2.9821,162000,12,3430,793,1840,720,-120.61,35.12,<1H OCEAN
house 14215,2.375,113500,41,2665,515,1664,512,-117.06,32.68,NEAR OCEAN
house 11623,5.844,273900,26,4105,637,2072,648,-118.04,33.82,<1H OCEAN
house 7058,4.1667,151900,35,1805,387,1505,366,-118.04,33.93,<1H OCEAN
house 2742,2.8025,84300,5,2652,606,1767,536,-115.55,32.78,INLAND
house 11485,3.1912,220800,20,3182,884,1770,817,-117.99,33.73,<1H OCEAN
house 14718,8.7604,331800,17,2524,332,771,317,-117.06,32.79,<1H OCEAN
house 3416,3.35,147600,35,1008,204,1162,215,-118.41,34.29,<1H OCEAN
house 13516,3.2656,90600,29,2912,566,2188,518,-117.34,34.11,INLAND
house 17553,3.0089,185200,40,2277,508,1718,434,-121.86,37.34,<1H OCEAN
house 6612,5.9009,376000,52,3571,510,1434,490,-118.11,34.18,INLAND
house 7585,1.9423,98400,22,312,107,583,119,-118.22,33.9,<1H OCEAN
house 11483,3.8365,250900,24,2104,421,1181,414,-117.99,33.73,<1H OCEAN
house 6361,3.0417,148000,24,1596,388,1329,352,-117.98,34.14,INLAND
house 14803,3.3906,147800,36,1940,399,1076,382,-117.16,32.58,NEAR OCEAN
house 18059,8.8178,500001,27,3340,451,1220,447,-122.01,37.27,<1H OCEAN
house 18470,7.5,344500,14,9483,1361,4108,1281,-121.6,37.13,<1H OCEAN
house 8736,3.402,279900,35,3462,814,1902,700,-118.31,33.82,<1H OCEAN
house 12365,3.9508,104200,6,4863,920,3010,828,-116.46,33.82,INLAND
house 18858,1.5923,56000,52,4513,985,1926,815,-122.27,41.2,INLAND
house 2892,1.2618,46900,32,2620,682,2375,684,-118.98,35.39,INLAND
house 18611,5.2417,196400,36,2066,401,942,344,-122.02,37.11,NEAR OCEAN
house 11440,6.8939,383900,17,2054,291,836,288,-117.98,33.61,NEAR OCEAN
house 15231,11.0911,500001,20,3370,433,1020,408,-117.21,33.03,NEAR OCEAN
house 3656,3.6618,187300,36,1372,295,774,306,-118.43,34.22,<1H OCEAN
house 18481,6.4313,393100,17,6725,1051,3439,1027,-121.56,37.08,<1H OCEAN
house 9827,5.9175,240200,19,2371,324,944,332,-121.71,36.78,<1H OCEAN
house 6724,3.6389,215000,34,824,224,430,213,-118.15,34.13,<1H OCEAN
house 19539,2.6964,107000,14,5200,1119,3221,1102,-120.95,37.65,INLAND
house 7448,3.4688,183600,44,1337,245,968,240,-118.18,33.94,<1H OCEAN
house 3031,1.9718,69800,32,2167,421,1301,394,-119.47,35.4,INLAND
house 16319,3.1369,119600,14,3731,772,1679,750,-121.33,38,INLAND
house 8498,3.5417,198400,38,1400,399,1131,405,-118.31,33.9,<1H OCEAN
house 8780,3.1648,244800,39,1415,298,729,278,-118.32,33.8,<1H OCEAN
house 685,2.7955,183100,31,3184,716,1561,628,-122.14,37.68,NEAR BAY
house 2034,1.4419,45500,39,1553,363,1449,341,-119.76,36.73,INLAND
house 12034,3.2311,105600,34,2086,417,1501,395,-117.47,33.94,INLAND
house 6674,3.6474,184100,26,2193,558,1186,559,-118.11,34.15,<1H OCEAN
house 15304,2.3182,500001,24,2046,442,812,367,-117.36,33.17,NEAR OCEAN
house 7774,5.1187,168100,36,1551,297,1100,322,-118.08,33.91,<1H OCEAN
house 1711,4.2348,157800,25,6508,1137,3259,1081,-122.31,37.99,NEAR BAY
house 5567,2.7368,162800,23,2503,532,1735,505,-118.29,33.92,<1H OCEAN
house 15569,6.1834,335600,16,4677,581,1902,566,-117.04,33.09,<1H OCEAN
house 3660,4.8194,181300,45,972,181,554,187,-118.4,34.21,<1H OCEAN
house 1648,8.3209,485400,12,4711,659,2089,621,-121.82,37.81,INLAND
house 16691,2.6974,165400,31,1486,345,823,322,-120.61,35.12,<1H OCEAN
house 1896,2.2056,107200,22,2138,493,829,330,-120.02,38.91,INLAND
house 3386,5.6184,316900,29,3390,580,1543,576,-118.28,34.24,<1H OCEAN
house 12262,2.535,74800,24,2680,606,1728,527,-116.97,33.78,INLAND
house 2265,3,79700,36,1650,313,660,298,-119.81,36.78,INLAND
house 7672,3.7238,166800,34,2118,437,1414,442,-118.08,33.92,<1H OCEAN
house 16850,6.3443,324700,39,1355,214,682,246,-122.42,37.62,NEAR OCEAN
house 13115,5.2447,148100,10,5121,763,2568,758,-121.36,38.39,INLAND
house 13357,5.5677,175400,16,1499,232,918,239,-117.6,34.03,INLAND
house 8791,10.1241,500001,34,2629,369,966,375,-118.36,33.8,NEAR OCEAN
house 12949,10.2264,350000,36,120,16,30,14,-121.28,38.63,INLAND
house 20236,3.1757,206300,50,1710,412,915,380,-119.27,34.28,NEAR OCEAN
house 12912,6.244,240000,31,3114,430,1121,456,-121.31,38.62,INLAND
house 4127,3.2222,186500,44,1681,407,1105,387,-118.21,34.14,<1H OCEAN
house 15238,4.4375,500001,22,5484,1227,1947,1012,-117.26,32.95,NEAR OCEAN
house 10227,5.6409,190900,35,1919,349,1302,345,-117.88,33.87,<1H OCEAN
house 13598,2.2917,90800,44,376,,273,107,-117.28,34.09,INLAND
house 1952,2.8807,142600,17,2616,492,1158,457,-120.84,38.73,INLAND
house 5283,4.801,500001,26,6577,1789,2937,1652,-118.47,34.06,<1H OCEAN
house 15663,3.7679,500001,39,3275,837,1137,725,-122.43,37.81,NEAR BAY
house 14387,3.4286,137500,5,1824,,892,426,-117.23,32.75,NEAR OCEAN
house 16834,4.25,241700,35,2197,369,971,326,-122.5,37.6,NEAR OCEAN
