product,date,country,store,num sold
Hat,1/7/2015,Norway,KaggleMart,504
Sticker,1/7/2015,Norway,KaggleMart,149
Hat,1/7/2015,Norway,KaggleRama,958
Sticker,1/7/2015,Norway,KaggleRama,262
Hat,1/7/2015,Sweden,KaggleMart,415
Sticker,1/7/2015,Sweden,KaggleMart,119
Mug,1/7/2015,Sweden,KaggleRama,442
Hat,1/7/2015,Sweden,KaggleRama,689
Sticker,1/7/2015,Sweden,KaggleRama,208
Mug,1/8/2015,Finland,KaggleMart,205
Hat,1/8/2015,Finland,KaggleMart,355
Sticker,1/8/2015,Finland,KaggleMart,93
Mug,1/8/2015,Finland,KaggleRama,353
Hat,1/8/2015,Finland,KaggleRama,581
Mug,1/8/2015,Norway,KaggleMart,361
Hat,1/8/2015,Norway,KaggleMart,574
Sticker,1/8/2015,Norway,KaggleMart,163
Mug,1/8/2015,Norway,KaggleRama,538
Hat,1/8/2015,Norway,KaggleRama,1004
Sticker,1/8/2015,Norway,KaggleRama,263
Mug,1/8/2015,Sweden,KaggleMart,259
Hat,1/8/2015,Sweden,KaggleMart,402
Mug,1/8/2015,Sweden,KaggleRama,493
Hat,1/8/2015,Sweden,KaggleRama,723
Mug,1/9/2015,Finland,KaggleMart,223
Sticker,1/9/2015,Finland,KaggleMart,101
Mug,1/9/2015,Finland,KaggleRama,386
Hat,1/9/2015,Finland,KaggleRama,634
Mug,1/9/2015,Norway,KaggleMart,338
Hat,1/9/2015,Norway,KaggleMart,566
Sticker,1/9/2015,Norway,KaggleMart,153
Hat,1/9/2015,Norway,KaggleRama,1053
Sticker,1/9/2015,Norway,KaggleRama,258
Mug,1/9/2015,Sweden,KaggleMart,268
Hat,1/9/2015,Sweden,KaggleMart,422
Sticker,1/9/2015,Sweden,KaggleMart,121
Mug,1/9/2015,Sweden,KaggleRama,479
Hat,1/9/2015,Sweden,KaggleRama,731
Mug,1/10/2015,Finland,KaggleMart,280
Hat,1/10/2015,Finland,KaggleMart,456
Sticker,1/10/2015,Finland,KaggleMart,126
Hat,1/10/2015,Finland,KaggleRama,703
Sticker,1/10/2015,Finland,KaggleRama,198
Hat,1/10/2015,Norway,KaggleMart,512
Sticker,1/10/2015,Norway,KaggleMart,172
Sticker,1/10/2015,Norway,KaggleRama,326
Hat,1/10/2015,Sweden,KaggleMart,547
Sticker,1/10/2015,Sweden,KaggleMart,137
Mug,1/10/2015,Sweden,KaggleRama,536
Hat,1/10/2015,Sweden,KaggleRama,955
Sticker,1/10/2015,Sweden,KaggleRama,254
Hat,1/11/2015,Finland,KaggleMart,447
Sticker,1/11/2015,Finland,KaggleMart,114
Mug,1/11/2015,Finland,KaggleRama,454
Hat,1/11/2015,Finland,KaggleRama,676
Sticker,1/11/2015,Finland,KaggleRama,205
Mug,1/11/2015,Norway,KaggleMart,387
Hat,1/11/2015,Norway,KaggleMart,679
Sticker,1/11/2015,Norway,KaggleMart,170
Mug,1/11/2015,Norway,KaggleRama,717
Hat,1/11/2015,Norway,KaggleRama,1109
Sticker,1/11/2015,Norway,KaggleRama,301
Mug,1/11/2015,Sweden,KaggleMart,354
Hat,1/11/2015,Sweden,KaggleMart,531
Sticker,1/11/2015,Sweden,KaggleMart,142
Mug,1/11/2015,Sweden,KaggleRama,538
Hat,1/11/2015,Sweden,KaggleRama,882
Sticker,1/11/2015,Sweden,KaggleRama,243
Mug,1/12/2015,Finland,KaggleMart,197
Mug,1/12/2015,Finland,KaggleRama,354
Hat,1/12/2015,Finland,KaggleRama,560
Sticker,1/12/2015,Finland,KaggleRama,151
Mug,1/12/2015,Norway,KaggleMart,323
Sticker,1/12/2015,Norway,KaggleMart,147
Mug,1/12/2015,Norway,KaggleRama,534
Hat,1/12/2015,Norway,KaggleRama,885
Sticker,1/12/2015,Norway,KaggleRama,265
Mug,1/12/2015,Sweden,KaggleRama,456
Hat,1/12/2015,Sweden,KaggleRama,642
Sticker,1/12/2015,Sweden,KaggleRama,168
Hat,1/13/2015,Finland,KaggleMart,318
Sticker,1/13/2015,Finland,KaggleMart,84
Hat,1/13/2015,Finland,KaggleRama,580
Sticker,1/13/2015,Finland,KaggleRama,149
Hat,1/13/2015,Norway,KaggleMart,522
Sticker,1/13/2015,Norway,KaggleMart,140
Mug,1/13/2015,Norway,KaggleRama,534
Hat,1/13/2015,Norway,KaggleRama,939
Sticker,1/13/2015,Norway,KaggleRama,231
Mug,1/13/2015,Sweden,KaggleMart,221
Hat,1/13/2015,Sweden,KaggleMart,355
Sticker,1/13/2015,Sweden,KaggleMart,101
Mug,1/13/2015,Sweden,KaggleRama,409
Hat,1/13/2015,Sweden,KaggleRama,653
Sticker,1/13/2015,Sweden,KaggleRama,173
Mug,1/14/2015,Finland,KaggleMart,187
Hat,1/14/2015,Finland,KaggleMart,324
Sticker,1/14/2015,Finland,KaggleMart,86
Mug,1/14/2015,Finland,KaggleRama,337
Hat,1/14/2015,Finland,KaggleRama,547
Sticker,1/14/2015,Finland,KaggleRama,142
Mug,1/14/2015,Norway,KaggleMart,325
Hat,1/14/2015,Norway,KaggleMart,495
Sticker,1/14/2015,Norway,KaggleMart,144
Mug,1/14/2015,Norway,KaggleRama,545
Hat,1/14/2015,Norway,KaggleRama,946
Sticker,1/14/2015,Norway,KaggleRama,247
Mug,1/14/2015,Sweden,KaggleMart,235
Hat,1/14/2015,Sweden,KaggleMart,339
Sticker,1/14/2015,Sweden,KaggleMart,102
Mug,1/14/2015,Sweden,KaggleRama,402
Hat,1/14/2015,Sweden,KaggleRama,649
Sticker,1/14/2015,Sweden,KaggleRama,177
Mug,1/15/2015,Finland,KaggleMart,184
Hat,1/15/2015,Finland,KaggleMart,295
Sticker,1/15/2015,Finland,KaggleMart,77
Mug,1/15/2015,Finland,KaggleRama,306
Hat,1/15/2015,Finland,KaggleRama,569
Sticker,1/15/2015,Finland,KaggleRama,149
Mug,1/15/2015,Norway,KaggleMart,316
Hat,1/15/2015,Norway,KaggleMart,505
Sticker,1/15/2015,Norway,KaggleMart,135
Mug,1/15/2015,Norway,KaggleRama,564
Hat,1/15/2015,Norway,KaggleRama,972
Sticker,1/15/2015,Norway,KaggleRama,252
Mug,1/15/2015,Sweden,KaggleMart,220
Sticker,1/15/2015,Sweden,KaggleMart,94
Mug,1/15/2015,Sweden,KaggleRama,363
Hat,1/15/2015,Sweden,KaggleRama,593
Sticker,1/15/2015,Sweden,KaggleRama,157
Mug,1/16/2015,Finland,KaggleMart,196
Mug,1/16/2015,Finland,KaggleRama,332
Hat,1/16/2015,Finland,KaggleRama,474
Mug,1/16/2015,Norway,KaggleMart,347
Hat,1/16/2015,Norway,KaggleMart,514
Sticker,1/16/2015,Norway,KaggleMart,171
Mug,1/16/2015,Norway,KaggleRama,571
Hat,1/16/2015,Norway,KaggleRama,1008
Mug,1/16/2015,Sweden,KaggleMart,213
Hat,1/16/2015,Sweden,KaggleMart,376
Sticker,1/16/2015,Sweden,KaggleMart,98
Mug,1/16/2015,Sweden,KaggleRama,396
Hat,1/16/2015,Sweden,KaggleRama,635
Mug,1/17/2015,Finland,KaggleMart,220
Hat,1/17/2015,Finland,KaggleMart,427
Sticker,1/17/2015,Finland,KaggleMart,111
Mug,1/17/2015,Finland,KaggleRama,406
Hat,1/17/2015,Finland,KaggleRama,701
Mug,1/17/2015,Norway,KaggleMart,399
Hat,1/17/2015,Norway,KaggleMart,671
Sticker,1/17/2015,Norway,KaggleMart,184
Mug,1/17/2015,Norway,KaggleRama,712
Hat,1/17/2015,Norway,KaggleRama,1109
Sticker,1/17/2015,Norway,KaggleRama,316
Mug,1/17/2015,Sweden,KaggleMart,254
Sticker,1/17/2015,Sweden,KaggleMart,123
Mug,1/17/2015,Sweden,KaggleRama,507
Hat,1/17/2015,Sweden,KaggleRama,781
Sticker,1/17/2015,Sweden,KaggleRama,196
Mug,1/18/2015,Finland,KaggleMart,233
Hat,1/18/2015,Finland,KaggleMart,371
Sticker,1/18/2015,Finland,KaggleMart,104
Hat,1/18/2015,Finland,KaggleRama,617
Sticker,1/18/2015,Finland,KaggleRama,163
Mug,1/18/2015,Norway,KaggleMart,411
Hat,1/18/2015,Norway,KaggleMart,626
Sticker,1/18/2015,Norway,KaggleMart,161
Mug,1/18/2015,Norway,KaggleRama,698
Mug,1/18/2015,Sweden,KaggleMart,246
Hat,1/18/2015,Sweden,KaggleMart,443
Sticker,1/18/2015,Sweden,KaggleMart,127
Mug,1/18/2015,Sweden,KaggleRama,485
Hat,1/18/2015,Sweden,KaggleRama,851
Sticker,1/18/2015,Sweden,KaggleRama,214
Mug,1/19/2015,Finland,KaggleMart,166
Hat,1/19/2015,Finland,KaggleMart,288
Sticker,1/19/2015,Finland,KaggleMart,73
Mug,1/19/2015,Finland,KaggleRama,343
Hat,1/19/2015,Finland,KaggleRama,560
Sticker,1/19/2015,Finland,KaggleRama,158
Mug,1/19/2015,Norway,KaggleMart,303
Hat,1/19/2015,Norway,KaggleMart,545
Sticker,1/19/2015,Norway,KaggleMart,137
Hat,1/19/2015,Norway,KaggleRama,913
Sticker,1/19/2015,Norway,KaggleRama,244
Mug,1/19/2015,Sweden,KaggleMart,223
Hat,1/19/2015,Sweden,KaggleMart,375
Sticker,1/19/2015,Sweden,KaggleMart,106
Hat,1/19/2015,Sweden,KaggleRama,569
Sticker,1/19/2015,Sweden,KaggleRama,148
Mug,1/20/2015,Finland,KaggleMart,188
Hat,1/20/2015,Finland,KaggleMart,309
Sticker,1/20/2015,Finland,KaggleMart,79
Mug,1/20/2015,Finland,KaggleRama,326
Sticker,1/20/2015,Finland,KaggleRama,140
Mug,1/20/2015,Norway,KaggleMart,335
Hat,1/20/2015,Norway,KaggleMart,538
Sticker,1/20/2015,Norway,KaggleMart,129
Hat,1/20/2015,Norway,KaggleRama,955
Sticker,1/20/2015,Norway,KaggleRama,249
Hat,1/20/2015,Sweden,KaggleMart,350
Sticker,1/20/2015,Sweden,KaggleMart,97
Hat,1/20/2015,Sweden,KaggleRama,653
Sticker,1/20/2015,Sweden,KaggleRama,167
Hat,1/21/2015,Finland,KaggleMart,320
Sticker,1/21/2015,Finland,KaggleMart,81
Mug,1/21/2015,Finland,KaggleRama,318
Hat,1/21/2015,Finland,KaggleRama,522
Sticker,1/21/2015,Finland,KaggleRama,138
Mug,1/21/2015,Norway,KaggleMart,309
Mug,1/21/2015,Norway,KaggleRama,596
Hat,1/21/2015,Norway,KaggleRama,902
Mug,1/21/2015,Sweden,KaggleMart,227
Sticker,1/21/2015,Sweden,KaggleMart,87
Mug,1/21/2015,Sweden,KaggleRama,366
Hat,1/21/2015,Sweden,KaggleRama,674
Sticker,1/21/2015,Sweden,KaggleRama,157
Mug,1/22/2015,Finland,KaggleMart,174
Mug,1/22/2015,Finland,KaggleRama,333
Hat,1/22/2015,Finland,KaggleRama,548
Sticker,1/22/2015,Finland,KaggleRama,147
Hat,1/22/2015,Norway,KaggleMart,494
Sticker,1/22/2015,Norway,KaggleMart,145
Mug,1/22/2015,Norway,KaggleRama,467
Hat,1/22/2015,Norway,KaggleRama,922
Sticker,1/22/2015,Norway,KaggleRama,249
Mug,1/22/2015,Sweden,KaggleMart,220
Sticker,1/22/2015,Sweden,KaggleMart,93
Mug,1/22/2015,Sweden,KaggleRama,382
Hat,1/22/2015,Sweden,KaggleRama,628
Sticker,1/22/2015,Sweden,KaggleRama,177
Mug,1/23/2015,Finland,KaggleMart,188
Mug,1/23/2015,Finland,KaggleRama,350
Hat,1/23/2015,Finland,KaggleRama,568
Sticker,1/23/2015,Finland,KaggleRama,157
Mug,1/23/2015,Norway,KaggleMart,350
Hat,1/23/2015,Norway,KaggleMart,564
Sticker,1/23/2015,Norway,KaggleMart,144
Hat,1/23/2015,Norway,KaggleRama,926
Mug,1/23/2015,Sweden,KaggleMart,228
Hat,1/23/2015,Sweden,KaggleMart,412
Sticker,1/23/2015,Sweden,KaggleMart,111
Hat,1/23/2015,Sweden,KaggleRama,672
Sticker,1/23/2015,Sweden,KaggleRama,183
Mug,1/24/2015,Finland,KaggleMart,227
Hat,1/24/2015,Finland,KaggleMart,369
Sticker,1/24/2015,Finland,KaggleMart,100
Mug,1/24/2015,Norway,KaggleMart,403
Hat,1/24/2015,Norway,KaggleMart,677
Sticker,1/24/2015,Norway,KaggleMart,173
Hat,1/24/2015,Norway,KaggleRama,1011
Sticker,1/24/2015,Norway,KaggleRama,312
Mug,1/24/2015,Sweden,KaggleMart,294
Hat,1/24/2015,Sweden,KaggleMart,517
Sticker,1/24/2015,Sweden,KaggleMart,126
Hat,1/24/2015,Sweden,KaggleRama,808
Sticker,1/24/2015,Sweden,KaggleRama,198
Hat,1/25/2015,Finland,KaggleMart,363
Sticker,1/25/2015,Finland,KaggleMart,105
Mug,1/25/2015,Finland,KaggleRama,381
Hat,1/25/2015,Finland,KaggleRama,627
Sticker,1/25/2015,Finland,KaggleRama,188
Hat,1/25/2015,Norway,KaggleMart,619
Sticker,1/25/2015,Norway,KaggleMart,180
Mug,1/25/2015,Norway,KaggleRama,758
Hat,1/25/2015,Norway,KaggleRama,1204
Mug,1/25/2015,Sweden,KaggleMart,251
Hat,1/25/2015,Sweden,KaggleMart,502
Sticker,1/25/2015,Sweden,KaggleMart,130
Hat,1/25/2015,Sweden,KaggleRama,823
Sticker,1/25/2015,Sweden,KaggleRama,215
Hat,1/26/2015,Finland,KaggleMart,302
Sticker,1/26/2015,Finland,KaggleMart,74
Mug,1/26/2015,Finland,KaggleRama,328
Hat,1/26/2015,Finland,KaggleRama,549
Sticker,1/26/2015,Finland,KaggleRama,133
Mug,1/26/2015,Norway,KaggleMart,321
Hat,1/26/2015,Norway,KaggleMart,531
Sticker,1/26/2015,Norway,KaggleMart,140
Mug,1/26/2015,Norway,KaggleRama,579
Hat,1/26/2015,Norway,KaggleRama,897
Sticker,1/26/2015,Norway,KaggleRama,233
Mug,1/26/2015,Sweden,KaggleMart,223
Hat,1/26/2015,Sweden,KaggleMart,345
Mug,1/26/2015,Sweden,KaggleRama,402
Hat,1/26/2015,Sweden,KaggleRama,647
Sticker,1/26/2015,Sweden,KaggleRama,153
Mug,1/27/2015,Finland,KaggleMart,179
Hat,1/27/2015,Finland,KaggleMart,296
Mug,1/27/2015,Finland,KaggleRama,323
Sticker,1/27/2015,Finland,KaggleRama,144
Mug,1/27/2015,Norway,KaggleMart,302
Hat,1/27/2015,Norway,KaggleMart,544
Sticker,1/27/2015,Norway,KaggleMart,141
Mug,1/27/2015,Norway,KaggleRama,541
Hat,1/27/2015,Norway,KaggleRama,882
Mug,1/27/2015,Sweden,KaggleMart,208
Hat,1/27/2015,Sweden,KaggleMart,356
Mug,1/27/2015,Sweden,KaggleRama,391
Hat,1/27/2015,Sweden,KaggleRama,622
Sticker,1/27/2015,Sweden,KaggleRama,172
Mug,1/28/2015,Finland,KaggleMart,175
Hat,1/28/2015,Finland,KaggleMart,313
Sticker,1/28/2015,Finland,KaggleMart,79
Mug,1/28/2015,Finland,KaggleRama,287
Hat,1/28/2015,Finland,KaggleRama,508
Sticker,1/28/2015,Finland,KaggleRama,133
Mug,1/28/2015,Norway,KaggleMart,329
Hat,1/28/2015,Norway,KaggleMart,553
Sticker,1/28/2015,Norway,KaggleMart,141
Mug,1/28/2015,Norway,KaggleRama,575
Sticker,1/28/2015,Norway,KaggleRama,248
Hat,1/28/2015,Sweden,KaggleMart,375
Sticker,1/28/2015,Sweden,KaggleMart,100
Mug,1/28/2015,Sweden,KaggleRama,417
Hat,1/28/2015,Sweden,KaggleRama,635
Sticker,1/28/2015,Sweden,KaggleRama,172
Mug,1/29/2015,Finland,KaggleMart,177
Hat,1/29/2015,Finland,KaggleMart,307
Sticker,1/29/2015,Finland,KaggleMart,81
Mug,1/29/2015,Finland,KaggleRama,319
Hat,1/29/2015,Finland,KaggleRama,572
Sticker,1/29/2015,Finland,KaggleRama,139
Mug,1/29/2015,Norway,KaggleMart,295
Sticker,1/29/2015,Norway,KaggleMart,143
Hat,1/29/2015,Norway,KaggleRama,979
Sticker,1/29/2015,Norway,KaggleRama,252
Mug,1/29/2015,Sweden,KaggleMart,211
Sticker,1/29/2015,Sweden,KaggleMart,87
Mug,1/29/2015,Sweden,KaggleRama,367
Hat,1/29/2015,Sweden,KaggleRama,651
Hat,1/30/2015,Finland,KaggleMart,336
Sticker,1/30/2015,Finland,KaggleMart,83
Mug,1/30/2015,Finland,KaggleRama,351
Hat,1/30/2015,Finland,KaggleRama,559
Sticker,1/30/2015,Finland,KaggleRama,141
Mug,1/30/2015,Norway,KaggleMart,356
Hat,1/30/2015,Norway,KaggleMart,598
Sticker,1/30/2015,Norway,KaggleMart,147
Mug,1/30/2015,Norway,KaggleRama,555
Hat,1/30/2015,Norway,KaggleRama,911
Sticker,1/30/2015,Norway,KaggleRama,275
Mug,1/30/2015,Sweden,KaggleMart,217
Hat,1/30/2015,Sweden,KaggleMart,392
Sticker,1/30/2015,Sweden,KaggleMart,110
Hat,1/30/2015,Sweden,KaggleRama,746
Mug,1/31/2015,Finland,KaggleMart,233
Hat,1/31/2015,Finland,KaggleMart,395
Sticker,1/31/2015,Finland,KaggleMart,102
Mug,1/31/2015,Finland,KaggleRama,399
Hat,1/31/2015,Finland,KaggleRama,645
Sticker,1/31/2015,Finland,KaggleRama,161
Hat,1/31/2015,Norway,KaggleMart,655
Sticker,1/31/2015,Norway,KaggleMart,171
Mug,1/31/2015,Norway,KaggleRama,654
Sticker,1/31/2015,Norway,KaggleRama,319
Mug,1/31/2015,Sweden,KaggleMart,299
Hat,1/31/2015,Sweden,KaggleMart,438
Sticker,1/31/2015,Sweden,KaggleMart,128
Hat,1/31/2015,Sweden,KaggleRama,830
Sticker,1/31/2015,Sweden,KaggleRama,204
Mug,2/1/2015,Finland,KaggleMart,221
Hat,2/1/2015,Finland,KaggleMart,434
Mug,2/1/2015,Finland,KaggleRama,427
Hat,2/1/2015,Finland,KaggleRama,657
Sticker,2/1/2015,Finland,KaggleRama,166
Mug,2/1/2015,Norway,KaggleMart,383
Hat,2/1/2015,Norway,KaggleMart,760
Sticker,2/1/2015,Norway,KaggleMart,176
Mug,2/1/2015,Norway,KaggleRama,685
Hat,2/1/2015,Norway,KaggleRama,1214
Sticker,2/1/2015,Norway,KaggleRama,281
Mug,2/1/2015,Sweden,KaggleMart,305
Hat,2/1/2015,Sweden,KaggleMart,477
Sticker,2/1/2015,Sweden,KaggleMart,128
Sticker,2/1/2015,Sweden,KaggleRama,219
Mug,2/2/2015,Finland,KaggleMart,199
Hat,2/2/2015,Finland,KaggleMart,337
Sticker,2/2/2015,Finland,KaggleMart,83
Mug,2/2/2015,Finland,KaggleRama,339
Hat,2/2/2015,Finland,KaggleRama,545
Sticker,2/2/2015,Finland,KaggleRama,142
Mug,2/2/2015,Norway,KaggleMart,304
Hat,2/2/2015,Norway,KaggleMart,546
Sticker,2/2/2015,Norway,KaggleMart,135
Mug,2/2/2015,Norway,KaggleRama,532
Hat,2/2/2015,Norway,KaggleRama,988
Sticker,2/2/2015,Norway,KaggleRama,252
Mug,2/2/2015,Sweden,KaggleMart,221
Hat,2/2/2015,Sweden,KaggleMart,437
Sticker,2/2/2015,Sweden,KaggleMart,102
Hat,2/2/2015,Sweden,KaggleRama,694
Sticker,2/2/2015,Sweden,KaggleRama,196
Mug,2/3/2015,Finland,KaggleMart,185
Sticker,2/3/2015,Finland,KaggleMart,87
Mug,2/3/2015,Finland,KaggleRama,305
Hat,2/3/2015,Finland,KaggleRama,588
Sticker,2/3/2015,Finland,KaggleRama,146
Mug,2/3/2015,Norway,KaggleMart,328
Hat,2/3/2015,Norway,KaggleMart,521
Sticker,2/3/2015,Norway,KaggleMart,152
Mug,2/3/2015,Norway,KaggleRama,600
Mug,2/3/2015,Sweden,KaggleMart,228
Sticker,2/3/2015,Sweden,KaggleMart,102
Mug,2/3/2015,Sweden,KaggleRama,372
Hat,2/3/2015,Sweden,KaggleRama,643
Sticker,2/3/2015,Sweden,KaggleRama,184
Mug,2/4/2015,Finland,KaggleMart,167
Hat,2/4/2015,Finland,KaggleMart,333
Mug,2/4/2015,Finland,KaggleRama,309
Hat,2/4/2015,Finland,KaggleRama,569
Sticker,2/4/2015,Finland,KaggleRama,139
Mug,2/4/2015,Norway,KaggleMart,313
Hat,2/4/2015,Norway,KaggleMart,603
Sticker,2/4/2015,Norway,KaggleMart,144
Mug,2/4/2015,Norway,KaggleRama,536
Mug,2/4/2015,Sweden,KaggleMart,241
Sticker,2/4/2015,Sweden,KaggleMart,100
Mug,2/4/2015,Sweden,KaggleRama,355
Hat,2/4/2015,Sweden,KaggleRama,666
Mug,2/5/2015,Finland,KaggleMart,183
Hat,2/5/2015,Finland,KaggleMart,333
Sticker,2/5/2015,Finland,KaggleMart,90
Mug,2/5/2015,Finland,KaggleRama,312
Hat,2/5/2015,Finland,KaggleRama,545
Sticker,2/5/2015,Finland,KaggleRama,134
Mug,2/5/2015,Norway,KaggleMart,304
Sticker,2/5/2015,Norway,KaggleMart,151
Mug,2/5/2015,Norway,KaggleRama,564
Mug,2/5/2015,Sweden,KaggleMart,219
Hat,2/5/2015,Sweden,KaggleMart,406
Sticker,2/5/2015,Sweden,KaggleMart,108
Mug,2/5/2015,Sweden,KaggleRama,372
Hat,2/5/2015,Sweden,KaggleRama,674
Sticker,2/5/2015,Sweden,KaggleRama,179
Mug,2/6/2015,Finland,KaggleMart,195
Hat,2/6/2015,Finland,KaggleMart,315
Sticker,2/6/2015,Finland,KaggleMart,83
Mug,2/6/2015,Finland,KaggleRama,353
Hat,2/6/2015,Finland,KaggleRama,621
Sticker,2/6/2015,Finland,KaggleRama,157
Mug,2/6/2015,Norway,KaggleMart,350
Hat,2/6/2015,Norway,KaggleMart,591
Mug,2/6/2015,Norway,KaggleRama,557
Hat,2/6/2015,Norway,KaggleRama,1052
Sticker,2/6/2015,Norway,KaggleRama,246
Mug,2/6/2015,Sweden,KaggleMart,222
Hat,2/6/2015,Sweden,KaggleMart,429
Sticker,2/6/2015,Sweden,KaggleMart,104
Hat,2/6/2015,Sweden,KaggleRama,715
Sticker,2/6/2015,Sweden,KaggleRama,186
Mug,2/7/2015,Finland,KaggleMart,238
Hat,2/7/2015,Finland,KaggleMart,419
Sticker,2/7/2015,Finland,KaggleMart,92
Mug,2/7/2015,Finland,KaggleRama,396
Sticker,2/7/2015,Finland,KaggleRama,185
Mug,2/7/2015,Norway,KaggleMart,399
Hat,2/7/2015,Norway,KaggleMart,703
Mug,2/7/2015,Norway,KaggleRama,685
Hat,2/7/2015,Norway,KaggleRama,1282
Sticker,2/7/2015,Norway,KaggleRama,314
Mug,2/7/2015,Sweden,KaggleMart,266
Hat,2/7/2015,Sweden,KaggleMart,476
Sticker,2/7/2015,Sweden,KaggleMart,134
Mug,2/7/2015,Sweden,KaggleRama,496
Hat,2/7/2015,Sweden,KaggleRama,804
Sticker,2/7/2015,Sweden,KaggleRama,231
Mug,2/8/2015,Finland,KaggleMart,246
Hat,2/8/2015,Finland,KaggleMart,390
Mug,2/8/2015,Finland,KaggleRama,388
Hat,2/8/2015,Finland,KaggleRama,697
Sticker,2/8/2015,Finland,KaggleRama,189
Hat,2/8/2015,Norway,KaggleMart,746
Sticker,2/8/2015,Norway,KaggleMart,167
Mug,2/8/2015,Norway,KaggleRama,648
Sticker,2/8/2015,Norway,KaggleRama,339
