row_id,date,country,store,product,num sold
45,1/3/2015,Norway,KaggleRama,Mug,1029
46,1/3/2015,Norway,KaggleRama,Hat,1631
47,1/3/2015,Norway,KaggleRama,Sticker,451
48,1/3/2015,Sweden,KaggleMart,Mug,420
49,1/3/2015,Sweden,KaggleMart,Hat,630
50,1/3/2015,Sweden,KaggleMart,Sticker,173
51,1/3/2015,Sweden,KaggleRama,Mug,734
52,1/3/2015,Sweden,KaggleRama,Hat,1167
53,1/3/2015,Sweden,KaggleRama,Sticker,319
54,1/4/2015,Finland,KaggleMart,Mug,332
55,1/4/2015,Finland,KaggleMart,Hat,544
56,1/4/2015,Finland,KaggleMart,Sticker,125
57,1/4/2015,Finland,KaggleRama,Mug,582
58,1/4/2015,Finland,KaggleRama,Hat,873
59,1/4/2015,Finland,KaggleRama,Sticker,245
60,1/4/2015,Norway,KaggleMart,Mug,589
61,1/4/2015,Norway,KaggleMart,Hat,889
62,1/4/2015,Norway,KaggleMart,Sticker,255
63,1/4/2015,Norway,KaggleRama,Mug,957
64,1/4/2015,Norway,KaggleRama,Hat,1540
65,1/4/2015,Norway,KaggleRama,Sticker,455
66,1/4/2015,Sweden,KaggleMart,Mug,406
67,1/4/2015,Sweden,KaggleMart,Hat,697
68,1/4/2015,Sweden,KaggleMart,Sticker,169
69,1/4/2015,Sweden,KaggleRama,Mug,657
70,1/4/2015,Sweden,KaggleRama,Hat,1112
71,1/4/2015,Sweden,KaggleRama,Sticker,300
72,1/5/2015,Finland,KaggleMart,Mug,243
73,1/5/2015,Finland,KaggleMart,Hat,378
74,1/5/2015,Finland,KaggleMart,Sticker,102
75,1/5/2015,Finland,KaggleRama,Mug,423
76,1/5/2015,Finland,KaggleRama,Hat,668
77,1/5/2015,Finland,KaggleRama,Sticker,187
78,1/5/2015,Norway,KaggleMart,Mug,435
79,1/5/2015,Norway,KaggleMart,Hat,671
80,1/5/2015,Norway,KaggleMart,Sticker,184
81,1/5/2015,Norway,KaggleRama,Mug,739
82,1/5/2015,Norway,KaggleRama,Hat,1126
83,1/5/2015,Norway,KaggleRama,Sticker,310
84,1/5/2015,Sweden,KaggleMart,Mug,298
85,1/5/2015,Sweden,KaggleMart,Hat,442
86,1/5/2015,Sweden,KaggleMart,Sticker,127
87,1/5/2015,Sweden,KaggleRama,Mug,512
88,1/5/2015,Sweden,KaggleRama,Hat,796
89,1/5/2015,Sweden,KaggleRama,Sticker,227
90,1/6/2015,Finland,KaggleMart,Mug,223
91,1/6/2015,Finland,KaggleMart,Hat,389
92,1/6/2015,Finland,KaggleMart,Sticker,99
93,1/6/2015,Finland,KaggleRama,Mug,407
94,1/6/2015,Finland,KaggleRama,Hat,636
95,1/6/2015,Finland,KaggleRama,Sticker,168
96,1/6/2015,Norway,KaggleMart,Mug,402
97,1/6/2015,Norway,KaggleMart,Hat,683
98,1/6/2015,Norway,KaggleMart,Sticker,181
99,1/6/2015,Norway,KaggleRama,Mug,681
100,1/6/2015,Norway,KaggleRama,Hat,1131
101,1/6/2015,Norway,KaggleRama,Sticker,306
102,1/6/2015,Sweden,KaggleMart,Mug,256
103,1/6/2015,Sweden,KaggleMart,Hat,411
104,1/6/2015,Sweden,KaggleMart,Sticker,111
105,1/6/2015,Sweden,KaggleRama,Mug,471
106,1/6/2015,Sweden,KaggleRama,Hat,853
107,1/6/2015,Sweden,KaggleRama,Sticker,206
108,1/7/2015,Finland,KaggleMart,Mug,229
109,1/7/2015,Finland,KaggleMart,Hat,342
110,1/7/2015,Finland,KaggleMart,Sticker,91
111,1/7/2015,Finland,KaggleRama,Mug,356
112,1/7/2015,Finland,KaggleRama,Hat,576
113,1/7/2015,Finland,KaggleRama,Sticker,173
114,1/7/2015,Norway,KaggleMart,Mug,371
115,1/7/2015,Norway,KaggleMart,Hat,504
116,1/7/2015,Norway,KaggleMart,Sticker,149
117,1/7/2015,Norway,KaggleRama,Mug,653
118,1/7/2015,Norway,KaggleRama,Hat,958
119,1/7/2015,Norway,KaggleRama,Sticker,262
120,1/7/2015,Sweden,KaggleMart,Mug,256
121,1/7/2015,Sweden,KaggleMart,Hat,415
122,1/7/2015,Sweden,KaggleMart,Sticker,119
123,1/7/2015,Sweden,KaggleRama,Mug,442
124,1/7/2015,Sweden,KaggleRama,Hat,689
125,1/7/2015,Sweden,KaggleRama,Sticker,208
126,1/8/2015,Finland,KaggleMart,Mug,205
127,1/8/2015,Finland,KaggleMart,Hat,355
128,1/8/2015,Finland,KaggleMart,Sticker,93
129,1/8/2015,Finland,KaggleRama,Mug,353
130,1/8/2015,Finland,KaggleRama,Hat,581
131,1/8/2015,Finland,KaggleRama,Sticker,163
132,1/8/2015,Norway,KaggleMart,Mug,361
133,1/8/2015,Norway,KaggleMart,Hat,574
134,1/8/2015,Norway,KaggleMart,Sticker,163
135,1/8/2015,Norway,KaggleRama,Mug,538
136,1/8/2015,Norway,KaggleRama,Hat,1004
137,1/8/2015,Norway,KaggleRama,Sticker,263
138,1/8/2015,Sweden,KaggleMart,Mug,259
139,1/8/2015,Sweden,KaggleMart,Hat,402
140,1/8/2015,Sweden,KaggleMart,Sticker,121
141,1/8/2015,Sweden,KaggleRama,Mug,493
142,1/8/2015,Sweden,KaggleRama,Hat,723
143,1/8/2015,Sweden,KaggleRama,Sticker,202
144,1/9/2015,Finland,KaggleMart,Mug,223
145,1/9/2015,Finland,KaggleMart,Hat,344
146,1/9/2015,Finland,KaggleMart,Sticker,101
147,1/9/2015,Finland,KaggleRama,Mug,386
148,1/9/2015,Finland,KaggleRama,Hat,634
149,1/9/2015,Finland,KaggleRama,Sticker,165
150,1/9/2015,Norway,KaggleMart,Mug,338
151,1/9/2015,Norway,KaggleMart,Hat,566
152,1/9/2015,Norway,KaggleMart,Sticker,153
153,1/9/2015,Norway,KaggleRama,Mug,605
154,1/9/2015,Norway,KaggleRama,Hat,1053
155,1/9/2015,Norway,KaggleRama,Sticker,258
156,1/9/2015,Sweden,KaggleMart,Mug,268
157,1/9/2015,Sweden,KaggleMart,Hat,422
158,1/9/2015,Sweden,KaggleMart,Sticker,121
159,1/9/2015,Sweden,KaggleRama,Mug,479
160,1/9/2015,Sweden,KaggleRama,Hat,731
161,1/9/2015,Sweden,KaggleRama,Sticker,194
162,1/10/2015,Finland,KaggleMart,Mug,280
163,1/10/2015,Finland,KaggleMart,Hat,456
164,1/10/2015,Finland,KaggleMart,Sticker,126
165,1/10/2015,Finland,KaggleRama,Mug,469
166,1/10/2015,Finland,KaggleRama,Hat,703
167,1/10/2015,Finland,KaggleRama,Sticker,198
168,1/10/2015,Norway,KaggleMart,Mug,433
169,1/10/2015,Norway,KaggleMart,Hat,512
170,1/10/2015,Norway,KaggleMart,Sticker,172
171,1/10/2015,Norway,KaggleRama,Mug,602
172,1/10/2015,Norway,KaggleRama,Hat,1122
173,1/10/2015,Norway,KaggleRama,Sticker,326
174,1/10/2015,Sweden,KaggleMart,Mug,332
175,1/10/2015,Sweden,KaggleMart,Hat,547
176,1/10/2015,Sweden,KaggleMart,Sticker,137
177,1/10/2015,Sweden,KaggleRama,Mug,536
178,1/10/2015,Sweden,KaggleRama,Hat,955
179,1/10/2015,Sweden,KaggleRama,Sticker,254
180,1/11/2015,Finland,KaggleMart,Mug,231
181,1/11/2015,Finland,KaggleMart,Hat,447
182,1/11/2015,Finland,KaggleMart,Sticker,114
183,1/11/2015,Finland,KaggleRama,Mug,454
184,1/11/2015,Finland,KaggleRama,Hat,676
185,1/11/2015,Finland,KaggleRama,Sticker,205
186,1/11/2015,Norway,KaggleMart,Mug,387
187,1/11/2015,Norway,KaggleMart,Hat,679
188,1/11/2015,Norway,KaggleMart,Sticker,170
189,1/11/2015,Norway,KaggleRama,Mug,717
190,1/11/2015,Norway,KaggleRama,Hat,1109
191,1/11/2015,Norway,KaggleRama,Sticker,301
192,1/11/2015,Sweden,KaggleMart,Mug,354
193,1/11/2015,Sweden,KaggleMart,Hat,531
194,1/11/2015,Sweden,KaggleMart,Sticker,142
195,1/11/2015,Sweden,KaggleRama,Mug,538
196,1/11/2015,Sweden,KaggleRama,Hat,882
197,1/11/2015,Sweden,KaggleRama,Sticker,243
198,1/12/2015,Finland,KaggleMart,Mug,197
199,1/12/2015,Finland,KaggleMart,Hat,324
200,1/12/2015,Finland,KaggleMart,Sticker,84
201,1/12/2015,Finland,KaggleRama,Mug,354
202,1/12/2015,Finland,KaggleRama,Hat,560
203,1/12/2015,Finland,KaggleRama,Sticker,151
204,1/12/2015,Norway,KaggleMart,Mug,323
205,1/12/2015,Norway,KaggleMart,Hat,510
206,1/12/2015,Norway,KaggleMart,Sticker,147
207,1/12/2015,Norway,KaggleRama,Mug,534
208,1/12/2015,Norway,KaggleRama,Hat,885
209,1/12/2015,Norway,KaggleRama,Sticker,265
210,1/12/2015,Sweden,KaggleMart,Mug,245
211,1/12/2015,Sweden,KaggleMart,Hat,360
212,1/12/2015,Sweden,KaggleMart,Sticker,118
213,1/12/2015,Sweden,KaggleRama,Mug,456
214,1/12/2015,Sweden,KaggleRama,Hat,642
215,1/12/2015,Sweden,KaggleRama,Sticker,168
216,1/13/2015,Finland,KaggleMart,Mug,186
217,1/13/2015,Finland,KaggleMart,Hat,318
218,1/13/2015,Finland,KaggleMart,Sticker,84
219,1/13/2015,Finland,KaggleRama,Mug,354
220,1/13/2015,Finland,KaggleRama,Hat,580
221,1/13/2015,Finland,KaggleRama,Sticker,149
222,1/13/2015,Norway,KaggleMart,Mug,311
223,1/13/2015,Norway,KaggleMart,Hat,522
224,1/13/2015,Norway,KaggleMart,Sticker,140
225,1/13/2015,Norway,KaggleRama,Mug,534
226,1/13/2015,Norway,KaggleRama,Hat,939
227,1/13/2015,Norway,KaggleRama,Sticker,231
228,1/13/2015,Sweden,KaggleMart,Mug,221
229,1/13/2015,Sweden,KaggleMart,Hat,355
230,1/13/2015,Sweden,KaggleMart,Sticker,101
231,1/13/2015,Sweden,KaggleRama,Mug,409
232,1/13/2015,Sweden,KaggleRama,Hat,653
233,1/13/2015,Sweden,KaggleRama,Sticker,173
234,1/14/2015,Finland,KaggleMart,Mug,187
235,1/14/2015,Finland,KaggleMart,Hat,324
236,1/14/2015,Finland,KaggleMart,Sticker,86
237,1/14/2015,Finland,KaggleRama,Mug,337
238,1/14/2015,Finland,KaggleRama,Hat,547
239,1/14/2015,Finland,KaggleRama,Sticker,142
240,1/14/2015,Norway,KaggleMart,Mug,325
241,1/14/2015,Norway,KaggleMart,Hat,495
242,1/14/2015,Norway,KaggleMart,Sticker,144
243,1/14/2015,Norway,KaggleRama,Mug,545
244,1/14/2015,Norway,KaggleRama,Hat,946
245,1/14/2015,Norway,KaggleRama,Sticker,247
246,1/14/2015,Sweden,KaggleMart,Mug,235
247,1/14/2015,Sweden,KaggleMart,Hat,339
248,1/14/2015,Sweden,KaggleMart,Sticker,102
249,1/14/2015,Sweden,KaggleRama,Mug,402
250,1/14/2015,Sweden,KaggleRama,Hat,649
251,1/14/2015,Sweden,KaggleRama,Sticker,177
252,1/15/2015,Finland,KaggleMart,Mug,184
253,1/15/2015,Finland,KaggleMart,Hat,295
254,1/15/2015,Finland,KaggleMart,Sticker,77
255,1/15/2015,Finland,KaggleRama,Mug,306
256,1/15/2015,Finland,KaggleRama,Hat,569
257,1/15/2015,Finland,KaggleRama,Sticker,149
258,1/15/2015,Norway,KaggleMart,Mug,316
259,1/15/2015,Norway,KaggleMart,Hat,505
260,1/15/2015,Norway,KaggleMart,Sticker,135
261,1/15/2015,Norway,KaggleRama,Mug,564
262,1/15/2015,Norway,KaggleRama,Hat,972
263,1/15/2015,Norway,KaggleRama,Sticker,252
264,1/15/2015,Sweden,KaggleMart,Mug,220
265,1/15/2015,Sweden,KaggleMart,Hat,362
266,1/15/2015,Sweden,KaggleMart,Sticker,94
267,1/15/2015,Sweden,KaggleRama,Mug,363
268,1/15/2015,Sweden,KaggleRama,Hat,593
269,1/15/2015,Sweden,KaggleRama,Sticker,157
270,1/16/2015,Finland,KaggleMart,Mug,196
271,1/16/2015,Finland,KaggleMart,Hat,292
272,1/16/2015,Finland,KaggleMart,Sticker,89
273,1/16/2015,Finland,KaggleRama,Mug,332
274,1/16/2015,Finland,KaggleRama,Hat,474
275,1/16/2015,Finland,KaggleRama,Sticker,151
276,1/16/2015,Norway,KaggleMart,Mug,347
277,1/16/2015,Norway,KaggleMart,Hat,514
278,1/16/2015,Norway,KaggleMart,Sticker,171
279,1/16/2015,Norway,KaggleRama,Mug,571
280,1/16/2015,Norway,KaggleRama,Hat,1008
281,1/16/2015,Norway,KaggleRama,Sticker,253
282,1/16/2015,Sweden,KaggleMart,Mug,213
283,1/16/2015,Sweden,KaggleMart,Hat,376
284,1/16/2015,Sweden,KaggleMart,Sticker,98
285,1/16/2015,Sweden,KaggleRama,Mug,396
286,1/16/2015,Sweden,KaggleRama,Hat,635
287,1/16/2015,Sweden,KaggleRama,Sticker,180
288,1/17/2015,Finland,KaggleMart,Mug,220
289,1/17/2015,Finland,KaggleMart,Hat,427
290,1/17/2015,Finland,KaggleMart,Sticker,111
291,1/17/2015,Finland,KaggleRama,Mug,406
292,1/17/2015,Finland,KaggleRama,Hat,701
293,1/17/2015,Finland,KaggleRama,Sticker,176
294,1/17/2015,Norway,KaggleMart,Mug,399
295,1/17/2015,Norway,KaggleMart,Hat,671
296,1/17/2015,Norway,KaggleMart,Sticker,184
297,1/17/2015,Norway,KaggleRama,Mug,712
298,1/17/2015,Norway,KaggleRama,Hat,1109
299,1/17/2015,Norway,KaggleRama,Sticker,316
300,1/17/2015,Sweden,KaggleMart,Mug,254
301,1/17/2015,Sweden,KaggleMart,Hat,487
302,1/17/2015,Sweden,KaggleMart,Sticker,123
303,1/17/2015,Sweden,KaggleRama,Mug,507
304,1/17/2015,Sweden,KaggleRama,Hat,781
305,1/17/2015,Sweden,KaggleRama,Sticker,196
306,1/18/2015,Finland,KaggleMart,Mug,233
307,1/18/2015,Finland,KaggleMart,Hat,371
308,1/18/2015,Finland,KaggleMart,Sticker,104
309,1/18/2015,Finland,KaggleRama,Mug,396
310,1/18/2015,Finland,KaggleRama,Hat,617
311,1/18/2015,Finland,KaggleRama,Sticker,163
312,1/18/2015,Norway,KaggleMart,Mug,411
313,1/18/2015,Norway,KaggleMart,Hat,626
314,1/18/2015,Norway,KaggleMart,Sticker,161
315,1/18/2015,Norway,KaggleRama,Mug,698
316,1/18/2015,Norway,KaggleRama,Hat,1109
317,1/18/2015,Norway,KaggleRama,Sticker,299
318,1/18/2015,Sweden,KaggleMart,Mug,246
319,1/18/2015,Sweden,KaggleMart,Hat,443
320,1/18/2015,Sweden,KaggleMart,Sticker,127
321,1/18/2015,Sweden,KaggleRama,Mug,485
322,1/18/2015,Sweden,KaggleRama,Hat,851
323,1/18/2015,Sweden,KaggleRama,Sticker,214
324,1/19/2015,Finland,KaggleMart,Mug,166
325,1/19/2015,Finland,KaggleMart,Hat,288
326,1/19/2015,Finland,KaggleMart,Sticker,73
327,1/19/2015,Finland,KaggleRama,Mug,343
328,1/19/2015,Finland,KaggleRama,Hat,560
329,1/19/2015,Finland,KaggleRama,Sticker,158
330,1/19/2015,Norway,KaggleMart,Mug,303
331,1/19/2015,Norway,KaggleMart,Hat,545
332,1/19/2015,Norway,KaggleMart,Sticker,137
333,1/19/2015,Norway,KaggleRama,Mug,527
334,1/19/2015,Norway,KaggleRama,Hat,913
335,1/19/2015,Norway,KaggleRama,Sticker,244
336,1/19/2015,Sweden,KaggleMart,Mug,223
337,1/19/2015,Sweden,KaggleMart,Hat,375
338,1/19/2015,Sweden,KaggleMart,Sticker,106
339,1/19/2015,Sweden,KaggleRama,Mug,369
340,1/19/2015,Sweden,KaggleRama,Hat,569
341,1/19/2015,Sweden,KaggleRama,Sticker,148
342,1/20/2015,Finland,KaggleMart,Mug,188
343,1/20/2015,Finland,KaggleMart,Hat,309
344,1/20/2015,Finland,KaggleMart,Sticker,79
345,1/20/2015,Finland,KaggleRama,Mug,326
346,1/20/2015,Finland,KaggleRama,Hat,560
347,1/20/2015,Finland,KaggleRama,Sticker,140
348,1/20/2015,Norway,KaggleMart,Mug,335
349,1/20/2015,Norway,KaggleMart,Hat,538
350,1/20/2015,Norway,KaggleMart,Sticker,129
351,1/20/2015,Norway,KaggleRama,Mug,533
352,1/20/2015,Norway,KaggleRama,Hat,955
353,1/20/2015,Norway,KaggleRama,Sticker,249
354,1/20/2015,Sweden,KaggleMart,Mug,224
355,1/20/2015,Sweden,KaggleMart,Hat,350
356,1/20/2015,Sweden,KaggleMart,Sticker,97
357,1/20/2015,Sweden,KaggleRama,Mug,382
358,1/20/2015,Sweden,KaggleRama,Hat,653
359,1/20/2015,Sweden,KaggleRama,Sticker,167
360,1/21/2015,Finland,KaggleMart,Mug,172
361,1/21/2015,Finland,KaggleMart,Hat,320
362,1/21/2015,Finland,KaggleMart,Sticker,81
363,1/21/2015,Finland,KaggleRama,Mug,318
364,1/21/2015,Finland,KaggleRama,Hat,522
365,1/21/2015,Finland,KaggleRama,Sticker,138
366,1/21/2015,Norway,KaggleMart,Mug,309
367,1/21/2015,Norway,KaggleMart,Hat,555
368,1/21/2015,Norway,KaggleMart,Sticker,152
369,1/21/2015,Norway,KaggleRama,Mug,596
370,1/21/2015,Norway,KaggleRama,Hat,902
371,1/21/2015,Norway,KaggleRama,Sticker,256
372,1/21/2015,Sweden,KaggleMart,Mug,227
373,1/21/2015,Sweden,KaggleMart,Hat,343
374,1/21/2015,Sweden,KaggleMart,Sticker,87
375,1/21/2015,Sweden,KaggleRama,Mug,366
376,1/21/2015,Sweden,KaggleRama,Hat,674
377,1/21/2015,Sweden,KaggleRama,Sticker,157
378,1/22/2015,Finland,KaggleMart,Mug,174
379,1/22/2015,Finland,KaggleMart,Hat,301
380,1/22/2015,Finland,KaggleMart,Sticker,85
381,1/22/2015,Finland,KaggleRama,Mug,333
382,1/22/2015,Finland,KaggleRama,Hat,548
383,1/22/2015,Finland,KaggleRama,Sticker,147
384,1/22/2015,Norway,KaggleMart,Mug,332
385,1/22/2015,Norway,KaggleMart,Hat,494
386,1/22/2015,Norway,KaggleMart,Sticker,145
387,1/22/2015,Norway,KaggleRama,Mug,467
388,1/22/2015,Norway,KaggleRama,Hat,922
389,1/22/2015,Norway,KaggleRama,Sticker,249
390,1/22/2015,Sweden,KaggleMart,Mug,220
391,1/22/2015,Sweden,KaggleMart,Hat,353
392,1/22/2015,Sweden,KaggleMart,Sticker,93
393,1/22/2015,Sweden,KaggleRama,Mug,382
394,1/22/2015,Sweden,KaggleRama,Hat,628
395,1/22/2015,Sweden,KaggleRama,Sticker,177
396,1/23/2015,Finland,KaggleMart,Mug,188
397,1/23/2015,Finland,KaggleMart,Hat,343
398,1/23/2015,Finland,KaggleMart,Sticker,86
399,1/23/2015,Finland,KaggleRama,Mug,350
400,1/23/2015,Finland,KaggleRama,Hat,568
401,1/23/2015,Finland,KaggleRama,Sticker,157
402,1/23/2015,Norway,KaggleMart,Mug,350
403,1/23/2015,Norway,KaggleMart,Hat,564
404,1/23/2015,Norway,KaggleMart,Sticker,144
405,1/23/2015,Norway,KaggleRama,Mug,539
406,1/23/2015,Norway,KaggleRama,Hat,926
407,1/23/2015,Norway,KaggleRama,Sticker,244
408,1/23/2015,Sweden,KaggleMart,Mug,228
409,1/23/2015,Sweden,KaggleMart,Hat,412
410,1/23/2015,Sweden,KaggleMart,Sticker,111
411,1/23/2015,Sweden,KaggleRama,Mug,388
412,1/23/2015,Sweden,KaggleRama,Hat,672
413,1/23/2015,Sweden,KaggleRama,Sticker,183
414,1/24/2015,Finland,KaggleMart,Mug,227
415,1/24/2015,Finland,KaggleMart,Hat,369
416,1/24/2015,Finland,KaggleMart,Sticker,100
417,1/24/2015,Finland,KaggleRama,Mug,388
418,1/24/2015,Finland,KaggleRama,Hat,681
419,1/24/2015,Finland,KaggleRama,Sticker,175
420,1/24/2015,Norway,KaggleMart,Mug,403
421,1/24/2015,Norway,KaggleMart,Hat,677
422,1/24/2015,Norway,KaggleMart,Sticker,173
423,1/24/2015,Norway,KaggleRama,Mug,650
424,1/24/2015,Norway,KaggleRama,Hat,1011
425,1/24/2015,Norway,KaggleRama,Sticker,312
426,1/24/2015,Sweden,KaggleMart,Mug,294
427,1/24/2015,Sweden,KaggleMart,Hat,517
428,1/24/2015,Sweden,KaggleMart,Sticker,126
429,1/24/2015,Sweden,KaggleRama,Mug,492
430,1/24/2015,Sweden,KaggleRama,Hat,808
431,1/24/2015,Sweden,KaggleRama,Sticker,198
432,1/25/2015,Finland,KaggleMart,Mug,238
433,1/25/2015,Finland,KaggleMart,Hat,363
434,1/25/2015,Finland,KaggleMart,Sticker,105
435,1/25/2015,Finland,KaggleRama,Mug,381
436,1/25/2015,Finland,KaggleRama,Hat,627
437,1/25/2015,Finland,KaggleRama,Sticker,188
438,1/25/2015,Norway,KaggleMart,Mug,391
439,1/25/2015,Norway,KaggleMart,Hat,619
440,1/25/2015,Norway,KaggleMart,Sticker,180
441,1/25/2015,Norway,KaggleRama,Mug,758
442,1/25/2015,Norway,KaggleRama,Hat,1204
443,1/25/2015,Norway,KaggleRama,Sticker,279
444,1/25/2015,Sweden,KaggleMart,Mug,251
445,1/25/2015,Sweden,KaggleMart,Hat,502
446,1/25/2015,Sweden,KaggleMart,Sticker,130
447,1/25/2015,Sweden,KaggleRama,Mug,520
448,1/25/2015,Sweden,KaggleRama,Hat,823
449,1/25/2015,Sweden,KaggleRama,Sticker,215
450,1/26/2015,Finland,KaggleMart,Mug,177
451,1/26/2015,Finland,KaggleMart,Hat,302
452,1/26/2015,Finland,KaggleMart,Sticker,74
453,1/26/2015,Finland,KaggleRama,Mug,328
454,1/26/2015,Finland,KaggleRama,Hat,549
455,1/26/2015,Finland,KaggleRama,Sticker,133
456,1/26/2015,Norway,KaggleMart,Mug,321
457,1/26/2015,Norway,KaggleMart,Hat,531
458,1/26/2015,Norway,KaggleMart,Sticker,140
459,1/26/2015,Norway,KaggleRama,Mug,579
460,1/26/2015,Norway,KaggleRama,Hat,897
461,1/26/2015,Norway,KaggleRama,Sticker,233
462,1/26/2015,Sweden,KaggleMart,Mug,223
463,1/26/2015,Sweden,KaggleMart,Hat,345
464,1/26/2015,Sweden,KaggleMart,Sticker,100
465,1/26/2015,Sweden,KaggleRama,Mug,402
466,1/26/2015,Sweden,KaggleRama,Hat,647
467,1/26/2015,Sweden,KaggleRama,Sticker,153
468,1/27/2015,Finland,KaggleMart,Mug,179
469,1/27/2015,Finland,KaggleMart,Hat,296
470,1/27/2015,Finland,KaggleMart,Sticker,82
471,1/27/2015,Finland,KaggleRama,Mug,323
472,1/27/2015,Finland,KaggleRama,Hat,501
473,1/27/2015,Finland,KaggleRama,Sticker,144
474,1/27/2015,Norway,KaggleMart,Mug,302
475,1/27/2015,Norway,KaggleMart,Hat,544
476,1/27/2015,Norway,KaggleMart,Sticker,141
477,1/27/2015,Norway,KaggleRama,Mug,541
478,1/27/2015,Norway,KaggleRama,Hat,882
479,1/27/2015,Norway,KaggleRama,Sticker,238
480,1/27/2015,Sweden,KaggleMart,Mug,208
481,1/27/2015,Sweden,KaggleMart,Hat,356
482,1/27/2015,Sweden,KaggleMart,Sticker,102
483,1/27/2015,Sweden,KaggleRama,Mug,391
484,1/27/2015,Sweden,KaggleRama,Hat,622
485,1/27/2015,Sweden,KaggleRama,Sticker,172
486,1/28/2015,Finland,KaggleMart,Mug,175
487,1/28/2015,Finland,KaggleMart,Hat,313
488,1/28/2015,Finland,KaggleMart,Sticker,79
489,1/28/2015,Finland,KaggleRama,Mug,287
490,1/28/2015,Finland,KaggleRama,Hat,508
491,1/28/2015,Finland,KaggleRama,Sticker,133
492,1/28/2015,Norway,KaggleMart,Mug,329
493,1/28/2015,Norway,KaggleMart,Hat,553
494,1/28/2015,Norway,KaggleMart,Sticker,141
495,1/28/2015,Norway,KaggleRama,Mug,575
496,1/28/2015,Norway,KaggleRama,Hat,976
497,1/28/2015,Norway,KaggleRama,Sticker,248
498,1/28/2015,Sweden,KaggleMart,Mug,223
499,1/28/2015,Sweden,KaggleMart,Hat,375
500,1/28/2015,Sweden,KaggleMart,Sticker,100
501,1/28/2015,Sweden,KaggleRama,Mug,417
502,1/28/2015,Sweden,KaggleRama,Hat,635
503,1/28/2015,Sweden,KaggleRama,Sticker,172
504,1/29/2015,Finland,KaggleMart,Mug,177
505,1/29/2015,Finland,KaggleMart,Hat,307
506,1/29/2015,Finland,KaggleMart,Sticker,81
507,1/29/2015,Finland,KaggleRama,Mug,319
508,1/29/2015,Finland,KaggleRama,Hat,572
509,1/29/2015,Finland,KaggleRama,Sticker,139
510,1/29/2015,Norway,KaggleMart,Mug,295
511,1/29/2015,Norway,KaggleMart,Hat,542
512,1/29/2015,Norway,KaggleMart,Sticker,143
513,1/29/2015,Norway,KaggleRama,Mug,556
514,1/29/2015,Norway,KaggleRama,Hat,979
515,1/29/2015,Norway,KaggleRama,Sticker,252
516,1/29/2015,Sweden,KaggleMart,Mug,211
517,1/29/2015,Sweden,KaggleMart,Hat,352
518,1/29/2015,Sweden,KaggleMart,Sticker,87
519,1/29/2015,Sweden,KaggleRama,Mug,367
520,1/29/2015,Sweden,KaggleRama,Hat,651
521,1/29/2015,Sweden,KaggleRama,Sticker,171
522,1/30/2015,Finland,KaggleMart,Mug,187
